"mean","sd","q0.025","median","q0.975","mode","kld","param","model","HostOrder"
0.0261635951153568,0.00293112350489119,0.0204877157466338,0.0261370681878429,0.0319879477377572,0.0260845885450504,1.59763724231923e-07,"yearx","1930","Cetartiodactyla"
-0.172784621893424,0.175573014793455,-0.527171463005011,-0.169384731358767,0.162461523511111,-0.162635992497721,2.56924859150031e-07,"Intercept","1930","Cetartiodactyla"
0.00555142481348434,0.00424849320365046,-0.00277430219893295,0.00554593566603752,0.0138999686963031,0.00553530900549698,9.92026956392474e-07,"yearx","1960","Cetartiodactyla"
1.34933951880353,0.136553549589202,1.07489778095532,1.35155116027479,1.6112820824755,1.35594100528143,6.92737931568362e-08,"Intercept","1960","Cetartiodactyla"
0.0560361338868643,0.0157062123407524,0.0256052495547328,0.055899573566619,0.0872274132532286,0.0556294347174532,1.90018180785311e-07,"yearx","1990","Cetartiodactyla"
0.7312620432559,0.247078402415124,0.227314452179581,0.73800944271766,1.19743953479604,0.751393997218672,9.92890580885303e-07,"Intercept","1990","Cetartiodactyla"
0.0224706724445607,0.00301713837282414,0.016621035148408,0.0224457198142227,0.028458309742279,0.0223963652400018,2.2977127872272e-07,"yearx","1930","Rodentia"
-0.0821096986510421,0.176473819722578,-0.438523518478176,-0.0786154311970607,0.254640936063829,-0.0716789172262812,2.89547973388992e-07,"Intercept","1930","Rodentia"
-0.00431058837540733,0.00447648246527709,-0.0131129269115782,-0.00430607980538207,0.0044581114528533,-0.004296681924523,9.50221117509362e-07,"yearx","1960","Rodentia"
1.51121405153868,0.134916247897348,1.24008458647378,1.51339133936758,1.77003747539684,1.51771302312424,6.67967403374786e-08,"Intercept","1960","Rodentia"
-0.00880344348159225,0.0163761538238846,-0.0410254095744183,-0.00877990012552911,0.0232562013544562,-0.00873146964850043,1.01381175400241e-06,"yearx","1990","Rodentia"
1.41430124769266,0.218744404034501,0.96944110128019,1.41978573850893,1.82843620405338,1.43066541531308,7.65091189247136e-07,"Intercept","1990","Rodentia"
0.0240941190949296,0.00347854504640418,0.0173693100692344,0.0240590257188277,0.0310179018567871,0.0239895797809721,8.71156404759016e-08,"yearx","1930","Primates"
-0.431925560300614,0.205629582607919,-0.848883221617533,-0.427235959906135,-0.0412856285465693,-0.417930398956188,5.46034365197026e-07,"Intercept","1930","Primates"
0.00540353400973078,0.00519729702991355,-0.00477784455961147,0.00539555449471642,0.0156198242671077,0.00538003237449098,1.01695204032063e-06,"yearx","1960","Primates"
0.950593434004787,0.166853057552238,0.613635581610885,0.953887804948439,1.26901191321815,0.960427443802025,2.85254794331428e-07,"Intercept","1960","Primates"
0.0144713809522316,0.0172366461849004,-0.0192426341598303,0.014427213685421,0.0483993596135448,0.0143404771563935,9.92814461496083e-07,"yearx","1990","Primates"
1.03289304970245,0.245579125127162,0.531597335864807,1.03972652860517,1.49587113863197,1.05328222682707,1.04646481023575e-06,"Intercept","1990","Primates"
0.0420781653603715,0.00456958932468459,0.0333562625569339,0.0419927480559793,0.0512972069405254,0.0418231366577283,2.09827434086753e-07,"yearx","1930","Carnivora"
-1.70742896520385,0.29695810228891,-2.31490071821654,-1.69875662851255,-1.14878865988735,-1.6815507484002,1.1898431810222e-06,"Intercept","1930","Carnivora"
0.0298536766108224,0.00597832272005,0.0182785757120042,0.0297991062893659,0.0417345410400132,0.0296911446737877,1.53498996679124e-07,"yearx","1960","Carnivora"
0.0282990379364232,0.218984561149875,-0.416776750512234,0.0336856598284591,0.443187490777739,0.0443716055735666,7.17986608571926e-07,"Intercept","1960","Carnivora"
0.0605100019435752,0.0175639349139692,0.0265732623099661,0.0603268820329053,0.0954887619701612,0.0599644756629886,6.84677872708604e-08,"yearx","1990","Carnivora"
0.456279082392643,0.278894542762728,-0.115338505410019,0.464774234574827,0.979903238486516,0.481632052907529,1.32054262151317e-06,"Intercept","1990","Carnivora"
0.0434358659415285,0.00509248430988034,0.0337456583472877,0.0433286976298547,0.053746252817785,0.0431156289971056,3.91461955947565e-07,"yearx","1930","Chiroptera"
-1.98002050961015,0.332813011884543,-2.66390251977224,-1.96931686561285,-1.35685459636871,-1.94806389613794,1.49657535452826e-06,"Intercept","1930","Chiroptera"
0.033069974611403,0.00667916399445789,0.0201790970277342,0.0329956579173377,0.046386617299872,0.03284855237462,3.72387109377623e-08,"yearx","1960","Chiroptera"
-0.276547899063465,0.248211452199216,-0.782941379426684,-0.269727428794884,0.191644575494052,-0.256197817864896,1.01044730884629e-06,"Intercept","1960","Chiroptera"
0.0719281167354246,0.0193861847191229,0.0346487034823056,0.0716687993366181,0.110718325494399,0.0711551380626451,3.45071073456749e-10,"yearx","1990","Chiroptera"
0.12743569159679,0.314957462318694,-0.52121968407453,0.138041800334427,0.71572359767969,0.159122963330233,1.65150106254251e-06,"Intercept","1990","Chiroptera"
0.0333910827459003,0.0049342891983137,0.0239637200607069,0.0333026452083409,0.0433342358772005,0.0331271127612815,1.5979935164199e-07,"yearx","1930","Perissodactyla"
-1.50555313276706,0.307853278991104,-2.1378113772484,-1.49576049678631,-0.928796136374254,-1.47632072101906,1.46019455454625e-06,"Intercept","1930","Perissodactyla"
0.018739861775488,0.00687479906997177,0.0053816114108405,0.018692664680837,0.0323516740876027,0.0185993560079349,3.88977268674171e-07,"yearx","1960","Perissodactyla"
0.0390610069124303,0.238263462793932,-0.446884569403042,0.0455605567774098,0.488627586763405,0.0584534452830837,9.89800096118441e-07,"Intercept","1960","Perissodactyla"
