"mean","sd","q0.025","median","q0.975","mode","kld","param","model","Host","HostOrder","Domestic","VRichness"
0.042247475793807,0.00297557904345999,0.0365111279646296,0.0422122572295028,0.0481868088967771,0.042142529994721,1.55615208877969e-08,"yearx","1930","Homo sapiens","Primates",FALSE,394
-0.741583520779277,0.188102070296873,-1.12105071073961,-0.738017861785591,-0.382199022136518,-0.730940411109141,2.2764625780928e-07,"Intercept","1930","Homo sapiens","Primates",FALSE,394
0.0323607645057949,0.00403177997309961,0.0245177017033853,0.0323360673130382,0.0403340350812914,0.0322872577078621,4.88472725705273e-07,"yearx","1960","Homo sapiens","Primates",FALSE,394
0.897162884319052,0.143068687635978,0.609640134258468,0.899475365545901,1.17161595244856,0.904065381243578,6.78736170645246e-08,"Intercept","1960","Homo sapiens","Primates",FALSE,394
0.029216308103722,0.0117942749890695,0.00616008025772761,0.0291817662908698,0.052442948191468,0.0291138241598381,9.55349184423421e-07,"yearx","1990","Homo sapiens","Primates",FALSE,394
1.91784710398764,0.158825712669167,1.59781483234947,1.92072067148737,2.22167894778884,1.92642403960069,1.70271977706598e-07,"Intercept","1990","Homo sapiens","Primates",FALSE,394
0.0439083146247446,0.00512032333071232,0.0341589010543723,0.0438030604153702,0.0542675104253134,0.0435938152742676,3.50661483281543e-07,"yearx","1930","Bos taurus","Cetartiodactyla",TRUE,137
-1.89397162227452,0.325845540914636,-2.56303425537268,-1.88365420619797,-1.28336347524626,-1.86317450744509,1.44506724997142e-06,"Intercept","1930","Bos taurus","Cetartiodactyla",TRUE,137
0.027094289793412,0.00658150802774403,0.0143403546310069,0.0270377923132715,0.0401622800141882,0.0269260343529702,1.99979338266559e-07,"yearx","1960","Bos taurus","Cetartiodactyla",TRUE,137
0.049388971946373,0.227969597452,-0.414645998350865,0.0552628975970881,0.480533178163368,0.0669146877468036,8.34867064080811e-07,"Intercept","1960","Bos taurus","Cetartiodactyla",TRUE,137
0.0162164472704024,0.0199491768548013,-0.0227908226020934,0.016161163884858,0.0554944944983527,0.0160524918470253,9.72626736527087e-07,"yearx","1990","Bos taurus","Cetartiodactyla",TRUE,137
1.00959457123821,0.260475924275236,0.476702254914775,1.01721744244327,1.49955729108686,1.03234131316002,1.19622566742129e-06,"Intercept","1990","Bos taurus","Cetartiodactyla",TRUE,137
0.0651893614091764,0.00729749890331795,0.051482406629133,0.0649656307199123,0.0801686301996989,0.0645192306975175,1.35257488297416e-06,"yearx","1930","Sus scrofa","Cetartiodactyla",TRUE,111
-3.50242010538744,0.496563563760144,-4.53370636884328,-3.48280183282161,-2.58277577654154,-3.44360408818353,2.20988955767099e-06,"Intercept","1930","Sus scrofa","Cetartiodactyla",TRUE,111
0.0577569023801593,0.00858449004086359,0.0413958774495756,0.0575867216213736,0.0751055708768414,0.0572485643120817,2.92341878133838e-07,"yearx","1960","Sus scrofa","Cetartiodactyla",TRUE,111
-1.24748569750772,0.334168491455153,-1.93572088467624,-1.23622785423208,-0.623329445607609,-1.21385104039764,1.6529592010086e-06,"Intercept","1960","Sus scrofa","Cetartiodactyla",TRUE,111
0.0424399074902962,0.0202843339240982,0.00305025476932601,0.0422926258287796,0.0826282819889156,0.0420014062093551,3.39991836819433e-07,"yearx","1990","Sus scrofa","Cetartiodactyla",TRUE,111
0.693150389704856,0.281046708175504,0.116609171220425,0.701876101458381,1.22032538352896,0.719193544827235,1.38141030911324e-06,"Intercept","1990","Sus scrofa","Cetartiodactyla",TRUE,111
0.046159225030421,0.00651427080378625,0.0338506367397323,0.045987672512803,0.059450281865089,0.0456460993791588,8.99450241737183e-07,"yearx","1930","Equus caballus","Perissodactyla",TRUE,95
-2.46635780894148,0.418219866142958,-3.33425740453034,-2.45006852551806,-1.69124761548849,-2.41754104707562,2.15964673204439e-06,"Intercept","1930","Equus caballus","Perissodactyla",TRUE,95
0.0326801041511322,0.00838621525796681,0.0165405731650064,0.0325720478706846,0.0494471971812826,0.032358043349023,6.96877763777497e-10,"yearx","1960","Equus caballus","Perissodactyla",TRUE,95
-0.574210635266676,0.297836025437222,-1.18665148262682,-0.564492029416284,-0.016958825595361,-0.545188999239436,1.54494632444011e-06,"Intercept","1960","Equus caballus","Perissodactyla",TRUE,95
0.0225926828965315,0.0244977598885788,-0.0251656265066487,0.0224767594988168,0.0709511458818344,0.0222479003834648,6.96715158989111e-07,"yearx","1990","Equus caballus","Perissodactyla",TRUE,95
0.531190139228167,0.324651256785983,-0.139381534282092,0.542768090723786,1.13560558053644,0.565816910724807,1.84970875576182e-06,"Intercept","1990","Equus caballus","Perissodactyla",TRUE,95
0.0519552569043095,0.00726856198872764,0.0382917124159063,0.0517366097601555,0.0668633060744928,0.05130049545819,1.29196440568194e-06,"yearx","1930","Ovis aries","Cetartiodactyla",TRUE,79
-2.92432161746809,0.476361409997234,-3.91695427198652,-2.90434844398125,-2.04487285195042,-2.86435337446463,2.41803760387305e-06,"Intercept","1930","Ovis aries","Cetartiodactyla",TRUE,79
0.041374199159243,0.00907756369477478,0.0240062840885202,0.0412214720078899,0.0596357173734996,0.0409185095081344,9.8243354036871e-08,"yearx","1960","Ovis aries","Cetartiodactyla",TRUE,79
-0.949155954262667,0.334061274725081,-1.63889121543689,-0.937333347004561,-0.326941131968725,-0.913802822045722,1.82298342792358e-06,"Intercept","1960","Ovis aries","Cetartiodactyla",TRUE,79
-0.00757525001563578,0.025211003663084,-0.0571926551982367,-0.00753496271225505,0.0417697849384857,-0.00745235536498335,1.02337422100703e-06,"yearx","1990","Ovis aries","Cetartiodactyla",TRUE,79
