"mean","sd","q0.025","median","q0.975","mode","kld","param","model","HostSpecies","HostOrder","Domestic","VRichness"
0.0426764583284554,0.00287738379569446,0.037129976374675,0.0426422208989365,0.0484203688280211,0.0425744348922414,1.41033581711668e-08,"yearx","1930","homo sapiens","Primates","Wild",411
-0.806982949705125,0.187492860009636,-1.18509611775072,-0.803474721973209,-0.448634311841432,-0.796511426162378,2.10743596015274e-07,"Intercept","1930","homo sapiens","Primates","Wild",411
0.0346339271666184,0.00383792332715474,0.0271737527317953,0.0346085046179093,0.0422298208691219,0.0345582493364087,4.20339447419689e-07,"yearx","1960","homo sapiens","Primates","Wild",411
0.790450838427432,0.143661854469261,0.501765541532453,0.792762230004933,1.06607122270469,0.797350120201298,6.47395644265365e-08,"Intercept","1960","homo sapiens","Primates","Wild",411
0.0519643940482853,0.0105807016642515,0.0313601642748195,0.051906717066243,0.0728703706449404,0.0517927768667137,5.86779725727545e-07,"yearx","1990","homo sapiens","Primates","Wild",411
1.56764872901218,0.165052969622998,1.23485677772666,1.57071247100575,1.88317740549545,1.57679345790705,2.00688928304871e-07,"Intercept","1990","homo sapiens","Primates","Wild",411
0.0264260002689023,0.00390588810693483,0.0189001021179864,0.0263785173410683,0.0342262496813941,0.0262844995293158,8.89815517277377e-09,"yearx","1930","bos taurus","Cetartiodactyla","Domestic",158
-0.757333256581659,0.234293823060228,-1.23411526999705,-0.751344636663452,-0.314089049314398,-0.739465238515357,8.14047355223607e-07,"Intercept","1930","bos taurus","Cetartiodactyla","Domestic",158
0.000707679217791314,0.00556623605775189,-0.0102174896461125,0.000706350960318727,0.0116303445791357,0.000704152298052335,4.83577789386989e-07,"yearx","1960","bos taurus","Cetartiodactyla","Domestic",158
0.939386461489982,0.173464338240055,0.588674334404715,0.942960364856859,1.27000310103355,0.950056008583241,3.53028537090471e-07,"Intercept","1960","bos taurus","Cetartiodactyla","Domestic",158
0.0484940970725607,0.020964289683354,0.00797056483625828,0.0482809290388773,0.0902273165625836,0.0478590841108228,8.24988970836557e-08,"yearx","1990","bos taurus","Cetartiodactyla","Domestic",158
0.242805908036453,0.324363234763959,-0.42675836656779,0.254236255633984,0.84710839323472,0.276983238150502,1.80807826924781e-06,"Intercept","1990","bos taurus","Cetartiodactyla","Domestic",158
0.0335666813007916,0.00482455962101154,0.0243449900944732,0.0334818266134065,0.0432837356291293,0.0333134358181202,1.3973408396055e-07,"yearx","1930","sus scrofa","Cetartiodactyla","Domestic",122
-1.46773085403156,0.301284843959115,-2.085892799152,-1.45834319665781,-0.902694026086309,-1.43971156287425,1.3929489285022e-06,"Intercept","1930","sus scrofa","Cetartiodactyla","Domestic",122
0.0241818420471909,0.00687583459330056,0.010860177684148,0.0241219582701444,0.037837025210498,0.0240034978049373,1.88717151498917e-07,"yearx","1960","sus scrofa","Cetartiodactyla","Domestic",122
-0.103579906498904,0.245079677185396,-0.603771966273485,-0.096786692061126,0.358533615252983,-0.0833109625564379,1.03530492196537e-06,"Intercept","1960","sus scrofa","Cetartiodactyla","Domestic",122
0.058974069666784,0.0214585955258435,0.0176470236354505,0.0587069414157015,0.101847859088802,0.0581779705758367,4.47911774501892e-09,"yearx","1990","sus scrofa","Cetartiodactyla","Domestic",122
0.0746539876884522,0.339611707252255,-0.627578962931136,0.0870199059426918,0.706134564474095,0.111653288959038,1.92249854787563e-06,"Intercept","1990","sus scrofa","Cetartiodactyla","Domestic",122
0.0312509233159063,0.00515527541889894,0.0214020825084374,0.03115822687117,0.0416403066180705,0.0309742354455541,1.63372406423019e-07,"yearx","1930","equus caballus","Perissodactyla","Domestic",98
-1.50621969250092,0.318003240741407,-2.1606311603659,-1.49567999605082,-0.911728981433001,-1.47473878307678,1.59744885433152e-06,"Intercept","1930","equus caballus","Perissodactyla","Domestic",98
0.015935799156716,0.00730622352773512,0.00172563812682601,0.0158901455812069,0.0303870395307847,0.0157999136270917,4.71270033250171e-07,"yearx","1960","equus caballus","Perissodactyla","Domestic",98
-0.00871210644475052,0.24937750215908,-0.518379987245401,-0.0015783139075224,0.46085703718299,0.0125740850292203,1.12760272256789e-06,"Intercept","1960","equus caballus","Perissodactyla","Domestic",98
0.0264888407927789,0.0229474214296092,-0.0181448520260293,0.0263462311628875,0.0718750741506988,0.026064375434803,4.75996853613623e-07,"yearx","1990","equus caballus","Perissodactyla","Domestic",98
0.320591764988265,0.33706427491119,-0.376879951730413,0.33303529215351,0.946921491857922,0.357834522081844,1.97095568808597e-06,"Intercept","1990","equus caballus","Perissodactyla","Domestic",98
0.0334759392107379,0.00551418416325637,0.0229693295546706,0.0333655076065505,0.0446231249780969,0.033146046252195,3.08123674197834e-07,"yearx","1930","ovis aries","Cetartiodactyla","Domestic",86
-1.7306224745291,0.344202702705081,-2.44106059462831,-1.71851944766418,-1.08927683241417,-1.69443530882733,1.80048609893784e-06,"Intercept","1930","ovis aries","Cetartiodactyla","Domestic",86
0.013912085162677,0.00745797310356849,-0.00060798090337336,0.0138703834396017,0.0286507023702398,0.0137879940045634,5.658258257607e-07,"yearx","1960","ovis aries","Cetartiodactyla","Domestic",86
0.0036623358271649,0.251690231738932,-0.511002244908584,0.01094766812956,0.477335524075592,0.0254012587124325,1.16293412432338e-06,"Intercept","1960","ovis aries","Cetartiodactyla","Domestic",86
0.032367634548577,0.0262192331507432,-0.0184361603663489,0.032140931095938,0.0844328300201857,0.0316924801571484,1.94335696177553e-07,"yearx","1990","ovis aries","Cetartiodactyla","Domestic",86
