"mean","sd","q0.025","median","q0.975","mode","kld","param","model","HostOrder"
0.0378554514369937,0.0059907992988842,0.0264757603432363,0.037721440706371,0.0500084332687589,0.0374549383361462,5.08788093832411e-07,"yearx","1930","Cetartiodactyla"
-1.96448245555105,0.37136747326649,-2.73289881780474,-1.95078515652072,-1.27438097519337,-1.92348807586901,1.96771704487797e-06,"Intercept","1930","Cetartiodactyla"
0.0175311900873485,0.00795130030447364,0.00208240950299623,0.0174762088644367,0.0332757183110761,0.0173675088110323,3.82676797979501e-07,"yearx","1960","Cetartiodactyla"
-0.0871767929298234,0.262618228501165,-0.625015701685973,-0.0793116278833943,0.406285826420188,-0.0637054043817523,1.26741191373787e-06,"Intercept","1960","Cetartiodactyla"
0.0312667770662853,0.0278306588647877,-0.0227638957232476,0.0310604199348893,0.0864203104325843,0.0306523685874977,3.21795285697363e-07,"yearx","1990","Cetartiodactyla"
0.183625502960473,0.37618654817257,-0.598618779858476,0.198821592172908,0.879527774728606,0.229212728187219,2.28797507430321e-06,"Intercept","1990","Cetartiodactyla"
0.0289995608963211,0.00378353388160572,0.0217084986310236,0.0289538593875939,0.0365545264289626,0.0288633709837132,1.03364966977899e-08,"yearx","1930","Rodentia"
-0.696317336847074,0.22404330873551,-1.1514765271455,-0.690881590642584,-0.271628403993415,-0.680097820230444,6.84963579651869e-07,"Intercept","1930","Rodentia"
-0.00044778771049469,0.00532233792240455,-0.0108990790350015,-0.000447304242107171,0.00999093118191855,-0.000445880284018321,3.5124846199721e-07,"yearx","1960","Rodentia"
1.17514621455922,0.158518245561619,0.85540001633603,1.17813634491824,1.47804953718256,1.1840713782755,2.21167055176397e-07,"Intercept","1960","Rodentia"
-0.00732916887004195,0.0208276586880815,-0.0482996294157804,-0.00730275449510141,0.0334544836443898,-0.00724818896881301,9.96279698323925e-07,"yearx","1990","Rodentia"
1.1825352634865,0.256305566979194,0.658420884940947,1.18995805519111,1.66488300580355,1.20468438281655,1.16450542484619e-06,"Intercept","1990","Rodentia"
0.0235785463919996,0.00383436485213528,0.0161703159780035,0.0235384192389917,0.0312152076169296,0.0234590041323737,6.6453684823307e-08,"yearx","1930","Primates"
-0.510126574657001,0.219666843460274,-0.956481119420141,-0.50476419562107,-0.0938276659465658,-0.494126146521348,6.99600803449689e-07,"Intercept","1930","Primates"
0.0039864975093249,0.00589933101849085,-0.00757600807198838,0.00397943842048382,0.0155775713880488,0.00396580607459492,9.77102816932283e-07,"yearx","1960","Primates"
0.854723763947215,0.180549903538112,0.489326881544382,0.858577093854639,1.19846881264647,0.866225839828546,4.14994534662997e-07,"Intercept","1960","Primates"
0.00338944806477512,0.0206525708610755,-0.0371238108159724,0.00337667464965821,0.0439367372465875,0.00335280558024853,7.90139618679449e-07,"yearx","1990","Primates"
1.08044082667051,0.261324774295258,0.545662987736884,1.08813586918461,1.571860824,1.10340331987496,1.21509466890606e-06,"Intercept","1990","Primates"
0.0527879610217468,0.0062004589312728,0.0410674947366727,0.0526265587009696,0.0654332613462335,0.0523052329689509,8.68111738927307e-07,"yearx","1930","Carnivora"
-2.64192229769159,0.407468015441307,-3.48450925554399,-2.62707083750877,-1.88431419048394,-2.5974852116386,1.92599003904126e-06,"Intercept","1930","Carnivora"
0.0427583177116853,0.00774860286808955,0.0278914057148892,0.0426440337406946,0.0582961667333441,0.0424175412261117,1.96841143621521e-08,"yearx","1960","Carnivora"
-0.667624454046546,0.286681186229784,-1.25543026634528,-0.658818563381266,-0.12959905310684,-0.641343221629176,1.34716997928131e-06,"Intercept","1960","Carnivora"
0.043318220136346,0.0206010987275327,0.00332972923872348,0.0431632786414955,0.0841516875969951,0.0428568857571525,3.09513973684508e-07,"yearx","1990","Carnivora"
0.652816797361751,0.285966621591558,0.0657555042160797,0.661833495000315,1.18880874244266,0.679730443810554,1.43133955437212e-06,"Intercept","1990","Carnivora"
0.0474568948987108,0.00560351512984233,0.0368222110426467,0.0473278290423472,0.0588353210087714,0.0470711207983336,5.70646178991747e-07,"yearx","1930","Chiroptera"
-2.21875146986389,0.361504189568746,-2.96361068268931,-2.20646605592103,-1.54386310910285,-2.18204145488369,1.68278516228472e-06,"Intercept","1930","Chiroptera"
0.0386761404104659,0.00737553311345044,0.0244845583606785,0.0385801945694689,0.053425404946414,0.0383901668711851,2.25545418795359e-10,"yearx","1960","Chiroptera"
-0.467381991149857,0.268590580324448,-1.0168553075031,-0.459528087998704,0.0378636065291688,-0.443945898132951,1.19372565623874e-06,"Intercept","1960","Chiroptera"
0.0882326213350493,0.0225797773785581,0.0449646149666132,0.0878799676827989,0.133572050898171,0.087180808547114,4.59686517657762e-08,"yearx","1990","Chiroptera"
-0.00711348812135417,0.341328158039502,-0.712223833474824,0.00509000765368762,0.628254874287594,0.0293859817151111,1.85853687045313e-06,"Intercept","1990","Chiroptera"
0.0737156283817749,0.0172521689659151,0.0427784929927942,0.0726593378450294,0.110533686851957,0.0704974755960563,3.47418668104644e-06,"yearx","1930","Perissodactyla"
-5.60106742549296,1.19628762720116,-8.1833520299523,-5.51463661498107,-3.48856346171065,-5.33579080665928,3.63084325680598e-06,"Intercept","1930","Perissodactyla"
0.0658577837908405,0.0193272543645297,0.0302614658533168,0.0650042218140088,0.106223927476462,0.0632841866158448,2.60686939905258e-06,"yearx","1960","Perissodactyla"
-3.06746308092582,0.770056695660792,-4.71579030073169,-3.0180989655077,-1.68984450451263,-2.91696341738026,3.54078540986639e-06,"Intercept","1960","Perissodactyla"
