"mean","sd","q0.025","median","q0.975","mode","kld","param","model","HostOrder"
0.0339512517221391,0.00502062494210097,0.0243780856174317,0.033853514840881,0.0440921320090713,0.033659350469829,2.6523913153746e-07,"yearx","1930","Cetartiodactyla"
-1.7183125853936,0.327464429745858,-2.3923824082863,-1.70739779303333,-1.10632151848955,-1.68570843731097,1.61660398921831e-06,"Intercept","1930","Cetartiodactyla"
0.00822023042897582,0.0252140541557283,-0.0411550334576889,0.00817523844738993,0.0577996533824426,0.00808741595280042,1.0269334816648e-06,"yearx","1995","Cetartiodactyla"
0.630353695962833,0.322808088883058,-0.036378328332578,0.641855055777275,1.23137115506684,0.664750753126324,1.84641361946334e-06,"Intercept","1995","Cetartiodactyla"
0.0254900154264495,0.00327039760520859,0.0191721837742107,0.0254555382314424,0.0320042687371529,0.0253873034809927,6.25901333508645e-08,"yearx","1930","Rodentia"
-0.507778486671975,0.203209687594634,-0.919560250618857,-0.503245044023144,-0.121448619214256,-0.49424843350795,5.0044852272429e-07,"Intercept","1930","Rodentia"
-0.0466665149435182,0.0198005893357337,-0.0859877105055989,-0.0465136638469177,-0.00823021005955602,-0.0462087726533178,2.82360671552271e-07,"yearx","1995","Rodentia"
1.72351966272561,0.218293475718658,1.27974638737503,1.72892812895134,2.13698714208071,1.7396572390625,7.35588956398867e-07,"Intercept","1995","Rodentia"
0.0218876761349284,0.00325823153146472,0.0155811613294047,0.0218572820321604,0.0283649498636488,0.0217971473486276,1.38002996631864e-07,"yearx","1930","Primates"
-0.350309302525562,0.197668108844901,-0.750751202129343,-0.345940855069465,0.0256026591206835,-0.337271270661223,4.81572056429364e-07,"Intercept","1930","Primates"
-0.0325236753049276,0.0191741259367206,-0.0704643165385113,-0.0324229607413945,0.00482163284596081,-0.0322211734049525,6.09179126925119e-07,"yearx","1995","Primates"
1.62831585895952,0.220235124748883,1.18042415559271,1.63383768047373,2.04527323380581,1.64479141096845,7.65070542677938e-07,"Intercept","1995","Primates"
0.0457051118236971,0.00502012429689652,0.0361658266196178,0.0455941769128282,0.0558848977288364,0.0453735772748216,4.84044943907893e-07,"yearx","1930","Carnivora"
-2.2212502704298,0.345055889999012,-2.93051485582496,-2.21007993861237,-1.57538069463899,-2.18789728681981,1.51838074335795e-06,"Intercept","1930","Carnivora"
0.0403570227069355,0.0205470734690451,0.000441391345824438,0.0402130332204597,0.0810489485178182,0.0399283499411385,3.70967518811783e-07,"yearx","1995","Carnivora"
0.689871377426075,0.283414639633004,0.108230862411126,0.698748721133808,1.22125557815405,0.716368200621926,1.40990154661054e-06,"Intercept","1995","Carnivora"
0.0378009194277616,0.00462269221951339,0.0289809435175448,0.0377131809854174,0.047131161600642,0.0375389310742725,2.29826956976882e-07,"yearx","1930","Chiroptera"
-1.71616049388368,0.307278217027599,-2.34620959044915,-1.70671822619231,-1.13949086472917,-1.6879799441262,1.34842043288835e-06,"Intercept","1930","Chiroptera"
0.0479735083416032,0.021341863602894,0.00661671427935713,0.0477901711028683,0.0903495261564146,0.0474275101327041,1.99410768437672e-07,"yearx","1995","Chiroptera"
0.532614576004749,0.299151253541634,-0.0826499324418791,0.542414826843822,1.09220996808615,0.561881714464993,1.55823658521569e-06,"Intercept","1995","Chiroptera"
0.0579409580760552,0.0145808400498348,0.0316566314506135,0.0571022742001263,0.0889154436070849,0.0553928414902563,3.3559546993978e-06,"yearx","1930","Perissodactyla"
-4.89326233943464,1.04339369687618,-7.14290953248947,-4.81909110008655,-3.04722366150647,-4.6658619242203,3.62657667928598e-06,"Intercept","1930","Perissodactyla"
-0.101551476043228,0.0473959692863785,-0.19937938878622,-0.0998842123100237,-0.0132417280810959,-0.0965664392722359,1.80195247429882e-06,"yearx","1995","Perissodactyla"
0.619021541580947,0.440362696434484,-0.302373463450754,0.638836987970975,1.42870579221744,0.67859826592386,2.65884869816134e-06,"Intercept","1995","Perissodactyla"
0.0167152471248456,0.00800092129908883,0.0014336594210541,0.0165698868053,0.0328440402922132,0.0162813340108183,1.75142088708222e-07,"yearx","1930","Lagomorpha"
-1.92560744138571,0.467102186485246,-2.90757878258278,-1.90287952705622,-1.07100989657951,-1.85713514757862,2.90948549383518e-06,"Intercept","1930","Lagomorpha"
0.0434127637295644,0.0636528539674663,-0.0773995279103836,0.0419498730159698,0.172655830404628,0.0390402620855698,5.65857349088593e-07,"yearx","1995","Lagomorpha"
-1.57439294087793,0.883687475969601,-3.48892581616198,-1.50753369933964,-0.02281882545686,-1.36846839948724,3.62679848310956e-06,"Intercept","1995","Lagomorpha"
0.0316392515578613,0.0103743209678208,0.0123219483430545,0.0312575203061979,0.0531087521183579,0.0304925322048838,1.97229698347084e-06,"yearx","1930","Didelphimorphia"
-3.06553441291497,0.668447469626809,-4.49041613899508,-3.02522250610973,-1.86278333404746,-2.94294368463715,3.44593735941917e-06,"Intercept","1930","Didelphimorphia"
0.0599423473728795,0.06479546805027,-0.0617067852356511,0.0579340975312159,0.193006231921682,0.0539263370049944,1.38766993766436e-06,"yearx","1995","Didelphimorphia"
-1.78683899985589,0.930583462994344,-3.80736649332418,-1.71466252646281,-0.158272522006027,-1.5640610991031,3.61593142844078e-06,"Intercept","1995","Didelphimorphia"
0.0404047782324937,0.011085819380157,0.0199657453853662,0.0399228694725359,0.0635388751176272,0.0389521427211617,2.55358615144897e-06,"yearx","1930","Diprotodontia"
-3.56927051419609,0.745704619356529,-5.16271402610113,-3.52265656762447,-2.23195759765747,-3.42730585664088,3.50538820802822e-06,"Intercept","1930","Diprotodontia"
