"Host","Pubs_All","Pubs_VirusRelated","HostOrder","HostFamily"
"Myotis keenii",4,1,"Chiroptera","Vespertilionidae"
"Myotis leibii",1,0,"Chiroptera","Vespertilionidae"
"Myotis levis",7,0,"Chiroptera","Vespertilionidae"
"Myotis lucifugus",376,25,"Chiroptera","Vespertilionidae"
"Myotis macrodactylus",13,0,"Chiroptera","Vespertilionidae"
"Myotis myotis",1110,135,"Chiroptera","Vespertilionidae"
"Myotis mystacinus",28,0,"Chiroptera","Vespertilionidae"
"Myotis nattereri",55,12,"Chiroptera","Vespertilionidae"
"Myotis nigricans",31,4,"Chiroptera","Vespertilionidae"
"Myotis pilosus",3,0,"Chiroptera","Vespertilionidae"
"Myotis ricketti",23,2,"Chiroptera","Vespertilionidae"
"Myotis riparius",8,0,"Chiroptera","Vespertilionidae"
"Myotis septentrionalis",30,1,"Chiroptera","Vespertilionidae"
"Myotis thysanodes",10,1,"Chiroptera","Vespertilionidae"
"Myotis velifer",28,3,"Chiroptera","Vespertilionidae"
"Myotis volans",9,1,"Chiroptera","Vespertilionidae"
"Myotis yumanensis",11,1,"Chiroptera","Vespertilionidae"
"Myrmecophaga tridactyla",83,4,"Pilosa","Myrmecophagidae"
"Nanger granti",18,1,"Cetartiodactyla","Bovidae"
"Napaeozapus insignis",2,0,"Rodentia","Dipodidae"
"Nasua narica",40,3,"Carnivora","Procyonidae"
"Nasua nasua",164,10,"Carnivora","Procyonidae"
"Natalus stramineus",4,1,"Chiroptera","Natalidae"
"Natalus tumidirostris",2,0,"Chiroptera","Natalidae"
"Neacomys guianae",1,0,"Rodentia","Cricetidae"
"Neacomys spinosus",6,1,"Rodentia","Cricetidae"
"Necromys amoenus",0,0,"Rodentia","Cricetidae"
"Necromys benefactus",2,1,"Rodentia","Cricetidae"
"Necromys lasiurus",52,13,"Rodentia","Cricetidae"
"Necromys obscurus",7,4,"Rodentia","Cricetidae"
"Nectomys squamipes",86,2,"Rodentia","Cricetidae"
"Neofelis nebulosa",61,3,"Carnivora","Felidae"
"Neomonachus schauinslandi",41,5,"Carnivora","Phocidae"
"Neotamias amoenus",23,0,"Rodentia","Sciuridae"
"Neotamias minimus",27,5,"Rodentia","Sciuridae"
"Neotamias quadrivittatus",4,0,"Rodentia","Sciuridae"
"Neotamias umbrinus",1,0,"Rodentia","Sciuridae"
"Neotoma albigula",67,12,"Rodentia","Cricetidae"
"Neotoma cinerea",27,3,"Rodentia","Cricetidae"
"Neotoma floridana",37,0,"Rodentia","Cricetidae"
"Neotoma fuscipes",66,1,"Rodentia","Cricetidae"
"Neotoma lepida",56,2,"Rodentia","Cricetidae"
"Neotoma leucodon",3,1,"Rodentia","Cricetidae"
"Neotoma macrotis",14,2,"Rodentia","Cricetidae"
"Neotoma mexicana",38,8,"Rodentia","Cricetidae"
"Neotoma micropus",55,9,"Rodentia","Cricetidae"
"Neotoma stephensi",24,1,"Rodentia","Cricetidae"
"Neovison vison",829,67,"Carnivora","Mustelidae"
"Nephelomys albigularis",1,0,"Rodentia","Cricetidae"
"Niviventer confucianus",81,5,"Rodentia","Muridae"
"Nomascus concolor",66,0,"Primates","Hylobatidae"
"Nomascus gabriellae",23,0,"Primates","Hylobatidae"
"Nomascus leucogenys",64,2,"Primates","Hylobatidae"
"Nyctalus noctula",65,7,"Chiroptera","Vespertilionidae"
"Nyctereutes procyonoides",295,29,"Carnivora","Canidae"
"Nycteris gambiensis",1,1,"Chiroptera","Nycteridae"
"Nycteris nana",1,1,"Chiroptera","Nycteridae"
"Nycteris thebaica",9,1,"Chiroptera","Nycteridae"
"Nycticebus coucang",122,2,"Primates","Lorisidae"
"Nycticeius humeralis",11,1,"Chiroptera","Vespertilionidae"
"Nyctinomops laticaudatus",17,7,"Chiroptera","Molossidae"
"Nyctinomops macrotis",11,3,"Chiroptera","Molossidae"
"Ochotona curzoniae",101,3,"Lagomorpha","Ochotonidae"
"Odobenus rosmarus",106,7,"Carnivora","Odobenidae"
"Odocoileus hemionus",400,60,"Cetartiodactyla","Cervidae"
"Odocoileus virginianus",1217,170,"Cetartiodactyla","Cervidae"
"Oecomys bicolor",3,1,"Rodentia","Cricetidae"
"Oecomys paricola",4,1,"Rodentia","Cricetidae"
"Okapia johnstoni",38,2,"Cetartiodactyla","Giraffidae"
"Oligoryzomys chacoensis",5,2,"Rodentia","Cricetidae"
"Oligoryzomys flavescens",41,10,"Rodentia","Cricetidae"
"Oligoryzomys fornesi",8,3,"Rodentia","Cricetidae"
"Oligoryzomys fulvescens",15,11,"Rodentia","Cricetidae"
"Oligoryzomys longicaudatus",42,25,"Rodentia","Cricetidae"
"Oligoryzomys microtis",14,7,"Rodentia","Cricetidae"
"Oligoryzomys nigripes",68,19,"Rodentia","Cricetidae"
"Ondatra zibethicus",139,5,"Rodentia","Cricetidae"
"Onychogalea unguifera",1,0,"Diprotodontia","Macropodidae"
"Onychomys leucogaster",56,4,"Rodentia","Cricetidae"
"Onychomys torridus",17,0,"Rodentia","Cricetidae"
"Orcinus orca",268,5,"Cetartiodactyla","Delphinidae"
"Oreamnos americanus",69,6,"Cetartiodactyla","Bovidae"
"Oreotragus oreotragus",10,0,"Cetartiodactyla","Bovidae"
"Oryctolagus cuniculus",1536,195,"Lagomorpha","Leporidae"
"Oryx beisa",7,1,"Cetartiodactyla","Bovidae"
"Oryx dammah",43,3,"Cetartiodactyla","Bovidae"
"Oryx gazella",61,4,"Cetartiodactyla","Bovidae"
"Oryx leucoryx",62,7,"Cetartiodactyla","Bovidae"
"Oryzomys couesi",9,4,"Rodentia","Cricetidae"
"Oryzomys palustris",70,8,"Rodentia","Cricetidae"
"Otocolobus manul",35,7,"Carnivora","Felidae"
"Otocyon megalotis",24,3,"Carnivora","Canidae"
"Otolemur crassicaudatus",30,0,"Primates","Galagidae"
"Otomops martiensseni",4,0,"Chiroptera","Molossidae"
"Otomys irroratus",11,0,"Rodentia","Muridae"
"Otomys tropicalis",0,0,"Rodentia","Muridae"
"Otomys unisulcatus",6,1,"Rodentia","Muridae"
"Otospermophilus beecheyi",98,5,"Rodentia","Sciuridae"
"Otospermophilus variegatus",13,0,"Rodentia","Sciuridae"
"Ourebia ourebi",6,0,"Cetartiodactyla","Bovidae"
"Ovibos moschatus",129,14,"Cetartiodactyla","Bovidae"
"Ovis ammon",76,7,"Cetartiodactyla","Bovidae"
"Ovis aries",1295,44,"Cetartiodactyla","Bovidae"
"Ovis canadensis",353,27,"Cetartiodactyla","Bovidae"
"Ovis dalli",66,9,"Cetartiodactyla","Bovidae"
"Ovis orientalis",84,3,"Cetartiodactyla","Bovidae"
"Oxymycterus nasutus",7,1,"Rodentia","Cricetidae"
"Oxymycterus quaestor",3,0,"Rodentia","Cricetidae"
"Oxymycterus rufus",14,4,"Rodentia","Cricetidae"
"Ozotoceros bezoarticus",46,1,"Cetartiodactyla","Cervidae"
"Pagophilus groenlandicus",178,8,"Carnivora","Phocidae"
"Paguma larvata",44,12,"Carnivora","Viverridae"
"Pan paniscus",533,31,"Primates","Hominidae"
"Pan troglodytes",2486,155,"Primates","Hominidae"
"Panthera leo",488,59,"Carnivora","Felidae"
"Panthera onca",188,11,"Carnivora","Felidae"
"Panthera pardus",263,12,"Carnivora","Felidae"
"Panthera tigris",374,30,"Carnivora","Felidae"
"Panthera uncia",110,7,"Carnivora","Felidae"
"Papio anubis",825,40,"Primates","Cercopithecidae"
"Papio cynocephalus",552,56,"Primates","Cercopithecidae"
"Papio hamadryas",592,51,"Primates","Cercopithecidae"
"Papio papio",3076,257,"Primates","Cercopithecidae"
"Papio ursinus",414,10,"Primates","Cercopithecidae"
"Paradoxurus hermaphroditus",19,2,"Carnivora","Viverridae"
"Paradoxurus zeylonensis",0,0,"Carnivora","Viverridae"
"Parastrellus hesperus",8,1,"Chiroptera","Vespertilionidae"
"Pecari tajacu",158,9,"Cetartiodactyla","Tayassuidae"
"Pedetes capensis",18,0,"Rodentia","Pedetidae"
"Pelomys isseli",1,0,"Rodentia","Muridae"
"Peponocephala electra",31,0,"Cetartiodactyla","Delphinidae"
"Perameles gunnii",20,0,"Peramelemorphia","Peramelidae"
"Perameles nasuta",23,2,"Peramelemorphia","Peramelidae"
"Perimyotis subflavus",25,5,"Chiroptera","Vespertilionidae"
"Perodicticus potto",55,0,"Primates","Lorisidae"
"Perognathus parvus",11,0,"Rodentia","Heteromyidae"
"Peromyscus attwateri",5,1,"Rodentia","Cricetidae"
"Peromyscus beatae",5,2,"Rodentia","Cricetidae"
"Peromyscus boylii",36,9,"Rodentia","Cricetidae"
"Peromyscus californicus",188,10,"Rodentia","Cricetidae"
"Peromyscus crinitus",8,1,"Rodentia","Cricetidae"
"Peromyscus difficilis",8,1,"Rodentia","Cricetidae"
"Peromyscus eremicus",58,5,"Rodentia","Cricetidae"
"Peromyscus gossypinus",42,4,"Rodentia","Cricetidae"
"Peromyscus leucopus",686,32,"Rodentia","Cricetidae"
"Peromyscus maniculatus",893,161,"Rodentia","Cricetidae"
"Peromyscus megalops",3,1,"Rodentia","Cricetidae"
"Peromyscus melanophrys",6,0,"Rodentia","Cricetidae"
"Peromyscus melanotis",10,0,"Rodentia","Cricetidae"
"Peromyscus mexicanus",14,4,"Rodentia","Cricetidae"
"Peromyscus truei",30,7,"Rodentia","Cricetidae"
"Petaurus breviceps",55,0,"Diprotodontia","Petauridae"
"Phacochoerus aethiopicus",53,5,"Cetartiodactyla","Suidae"
"Phacochoerus africanus",41,11,"Cetartiodactyla","Suidae"
"Phascolarctos cinereus",400,18,"Diprotodontia","Phascolarctidae"
"Philander opossum",52,2,"Didelphimorphia","Didelphidae"
"Philantomba maxwellii",3,1,"Cetartiodactyla","Bovidae"
"Philantomba monticola",26,0,"Cetartiodactyla","Bovidae"
"Philetor brachypterus",0,0,"Chiroptera","Vespertilionidae"
"Phoca largha",66,2,"Carnivora","Phocidae"
"Phoca vitulina",757,120,"Carnivora","Phocidae"
"Phocarctos hookeri",33,0,"Carnivora","Otariidae"
"Phocoena phocoena",457,32,"Cetartiodactyla","Phocoenidae"
"Phocoena spinipinnis",15,7,"Cetartiodactyla","Phocoenidae"
"Phocoenoides dalli",45,0,"Cetartiodactyla","Phocoenidae"
"Phyllostomus discolor",83,4,"Chiroptera","Phyllostomidae"
"Phyllostomus hastatus",52,0,"Chiroptera","Phyllostomidae"
"Phyllotis darwini",56,1,"Rodentia","Cricetidae"
"Physeter macrocephalus",196,7,"Cetartiodactyla","Physeteridae"
"Piliocolobus badius",41,8,"Primates","Cercopithecidae"
"Piliocolobus rufomitratus",32,4,"Primates","Cercopithecidae"
"Piliocolobus semlikiensis",0,0,"Primates","Cercopithecidae"
"Piliocolobus tephrosceles",11,3,"Primates","Cercopithecidae"
"Pipistrellus abramus",38,5,"Chiroptera","Vespertilionidae"
"Pipistrellus ceylonicus",3,2,"Chiroptera","Vespertilionidae"
"Pipistrellus hesperidus",5,1,"Chiroptera","Vespertilionidae"
"Pipistrellus kuhlii",38,6,"Chiroptera","Vespertilionidae"
"Pipistrellus nathusii",22,2,"Chiroptera","Vespertilionidae"
"Pipistrellus pipistrellus",314,44,"Chiroptera","Vespertilionidae"
"Pithecia monachus",9,0,"Primates","Pitheciidae"
"Pithecia pithecia",109,4,"Primates","Pitheciidae"
"Platyrrhinus helleri",4,0,"Chiroptera","Phyllostomidae"
"Platyrrhinus lineatus",19,1,"Chiroptera","Phyllostomidae"
"Plecotus auritus",59,3,"Chiroptera","Vespertilionidae"
"Plecotus austriacus",16,1,"Chiroptera","Vespertilionidae"
"Pongo abelii",183,2,"Primates","Hominidae"
"Pongo pygmaeus",523,20,"Primates","Hominidae"
"Potamochoerus larvatus",18,9,"Cetartiodactyla","Suidae"
"Potamochoerus porcus",23,5,"Cetartiodactyla","Suidae"
"Potorous tridactylus",60,2,"Diprotodontia","Potoroidae"
"Potos flavus",30,2,"Carnivora","Procyonidae"
"Praomys daltoni",8,3,"Rodentia","Muridae"
"Praomys jacksoni",4,0,"Rodentia","Muridae"
"Praomys rostratus",4,2,"Rodentia","Muridae"
"Presbytis melalophos",16,0,"Primates","Cercopithecidae"
"Prionailurus bengalensis",94,9,"Carnivora","Felidae"
"Prionailurus planiceps",5,0,"Carnivora","Felidae"
"Prionailurus viverrinus",25,1,"Carnivora","Felidae"
"Procapra gutturosa",21,2,"Cetartiodactyla","Bovidae"
"Procolobus verus",11,3,"Primates","Cercopithecidae"
"Procyon cancrivorus",20,0,"Carnivora","Procyonidae"
"Procyon lotor",729,142,"Carnivora","Procyonidae"
"Procyon pygmaeus",1,1,"Carnivora","Procyonidae"
"Proechimys cuvieri",8,0,"Rodentia","Echimyidae"
"Proechimys guairae",7,1,"Rodentia","Echimyidae"
"Proechimys guyannensis",27,1,"Rodentia","Echimyidae"
"Proechimys longicaudatus",5,0,"Rodentia","Echimyidae"
"Proechimys semispinosus",11,3,"Rodentia","Echimyidae"
"Propithecus coquereli",43,0,"Primates","Indriidae"
"Propithecus verreauxi",104,2,"Primates","Indriidae"
"Proteles cristata",15,0,"Carnivora","Hyaenidae"
"Pseudocheirus peregrinus",47,1,"Diprotodontia","Pseudocheiridae"
"Pseudois nayaur",42,3,"Cetartiodactyla","Bovidae"
"Pseudomys novaehollandiae",3,1,"Rodentia","Muridae"
"Pseudorca crassidens",85,0,"Cetartiodactyla","Delphinidae"
"Pteronotus davyi",6,0,"Chiroptera","Mormoopidae"
"Pteronotus parnellii",161,2,"Chiroptera","Mormoopidae"
"Pteropus admiralitatum",0,0,"Chiroptera","Pteropodidae"
"Pteropus alecto",96,57,"Chiroptera","Pteropodidae"
"Pteropus capistratus",1,0,"Chiroptera","Pteropodidae"
"Pteropus conspicillatus",29,12,"Chiroptera","Pteropodidae"
"Pteropus dasymallus",7,1,"Chiroptera","Pteropodidae"
"Pteropus giganteus",62,17,"Chiroptera","Pteropodidae"
"Pteropus hypomelanus",41,12,"Chiroptera","Pteropodidae"
"Pteropus lylei",22,14,"Chiroptera","Pteropodidae"
"Pteropus neohibernicus",2,0,"Chiroptera","Pteropodidae"
"Pteropus poliocephalus",78,24,"Chiroptera","Pteropodidae"
"Pteropus pumilus",13,0,"Chiroptera","Pteropodidae"
"Pteropus rodricensis",10,0,"Chiroptera","Pteropodidae"
"Pteropus rufus",16,2,"Chiroptera","Pteropodidae"
"Pteropus scapulatus",38,12,"Chiroptera","Pteropodidae"
"Pteropus vampyrus",61,23,"Chiroptera","Pteropodidae"
"Pudu puda",48,3,"Cetartiodactyla","Cervidae"
"Puma concolor",389,54,"Carnivora","Felidae"
"Pusa caspica",29,10,"Carnivora","Phocidae"
"Pusa hispida",264,13,"Carnivora","Phocidae"
"Pusa sibirica",77,16,"Carnivora","Phocidae"
"Pygathrix nemaeus",22,0,"Primates","Cercopithecidae"
"Rangifer tarandus",738,48,"Cetartiodactyla","Cervidae"
"Raphicerus campestris",12,0,"Cetartiodactyla","Bovidae"
"Raphicerus sharpei",0,0,"Cetartiodactyla","Bovidae"
"Rattus exulans",115,9,"Rodentia","Muridae"
"Rattus fuscipes",46,0,"Rodentia","Muridae"
"Rattus losea",60,13,"Rodentia","Muridae"
"Rattus lutreolus",11,0,"Rodentia","Muridae"
"Rattus nitidus",13,3,"Rodentia","Muridae"
"Rattus norvegicus",3664,213,"Rodentia","Muridae"
"Rattus pyctoris",4,1,"Rodentia","Muridae"
"Rattus rattus",5231,292,"Rodentia","Muridae"
"Rattus sordidus",4,0,"Rodentia","Muridae"
"Rattus tanezumi",107,19,"Rodentia","Muridae"
"Rattus tiomanicus",28,1,"Rodentia","Muridae"
"Redunca arundinum",9,1,"Cetartiodactyla","Bovidae"
"Redunca fulvorufula",12,0,"Cetartiodactyla","Bovidae"
"Redunca redunca",35,1,"Cetartiodactyla","Bovidae"
"Reithrodontomys creper",4,1,"Rodentia","Cricetidae"
"Reithrodontomys fulvescens",15,4,"Rodentia","Cricetidae"
"Reithrodontomys megalotis",50,13,"Rodentia","Cricetidae"
"Reithrodontomys mexicanus",8,4,"Rodentia","Cricetidae"
"Reithrodontomys sumichrasti",10,5,"Rodentia","Cricetidae"
"Rhabdomys pumilio",99,4,"Rodentia","Muridae"
"Rhinoceros unicornis",95,2,"Perissodactyla","Rhinocerotidae"
"Rhinolophus affinis",21,9,"Chiroptera","Rhinolophidae"
"Rhinolophus alcyone",1,0,"Chiroptera","Rhinolophidae"
"Rhinolophus blasii",5,2,"Chiroptera","Rhinolophidae"
"Rhinolophus cornutus",10,1,"Chiroptera","Rhinolophidae"
"Rhinolophus eloquens",2,1,"Chiroptera","Rhinolophidae"
"Rhinolophus euryale",13,0,"Chiroptera","Rhinolophidae"
"Rhinolophus ferrumequinum",141,15,"Chiroptera","Rhinolophidae"
"Rhinolophus hildebrandtii",4,1,"Chiroptera","Rhinolophidae"
"Rhinolophus hipposideros",80,11,"Chiroptera","Rhinolophidae"
"Rhinolophus lepidus",4,1,"Chiroptera","Rhinolophidae"
"Rhinolophus macrotis",8,3,"Chiroptera","Rhinolophidae"
"Rhinolophus mehelyi",10,0,"Chiroptera","Rhinolophidae"
"Rhinolophus pearsonii",2,0,"Chiroptera","Rhinolophidae"
"Rhinolophus pusillus",18,3,"Chiroptera","Rhinolophidae"
"Rhinolophus rouxii",58,1,"Chiroptera","Rhinolophidae"
"Rhinolophus sinicus",42,16,"Chiroptera","Rhinolophidae"
"Rhinophylla pumilio",4,0,"Chiroptera","Rhinolophidae"
"Rhinopithecus roxellana",143,3,"Primates","Cercopithecidae"
"Rhogeessa parvula",3,0,"Chiroptera","Vespertilionidae"
"Rhombomys opimus",160,9,"Rodentia","Muridae"
"Rhynchonycteris naso",5,0,"Chiroptera","Emballonuridae"
"Rousettus aegyptiacus",202,70,"Chiroptera","Pteropodidae"
"Rousettus amplexicaudatus",10,2,"Chiroptera","Pteropodidae"
"Rousettus leschenaultii",51,18,"Chiroptera","Pteropodidae"
"Rousettus madagascariensis",9,1,"Chiroptera","Pteropodidae"
"Rucervus duvaucelii",25,0,"Cetartiodactyla","Cervidae"
"Rupicapra pyrenaica",105,31,"Cetartiodactyla","Bovidae"
"Rupicapra rupicapra",265,48,"Cetartiodactyla","Bovidae"
"Rusa alfredi",2,1,"Cetartiodactyla","Cervidae"
"Rusa timorensis",56,3,"Cetartiodactyla","Cervidae"
"Rusa unicolor",75,3,"Cetartiodactyla","Cervidae"
"Saccolaimus flaviventris",5,5,"Chiroptera","Emballonuridae"
"Saccolaimus saccolaimus",7,6,"Chiroptera","Emballonuridae"
"Saguinus geoffroyi",47,1,"Primates","Callitrichidae"
"Saguinus imperator",32,0,"Primates","Callitrichidae"
"Saguinus labiatus",66,14,"Primates","Callitrichidae"
"Saguinus midas",58,3,"Primates","Callitrichidae"
"Saguinus mystax",100,22,"Primates","Callitrichidae"
"Saguinus oedipus",395,37,"Primates","Callitrichidae"
"Saiga tatarica",42,3,"Cetartiodactyla","Bovidae"
"Saimiri oerstedii",13,0,"Primates","Cebidae"
"Saimiri sciureus",1187,55,"Primates","Cebidae"
"Saimiri ustus",17,0,"Primates","Cebidae"
"Sapajus apella",955,13,"Primates","Cebidae"
"Sapajus cay",24,2,"Primates","Cebidae"
"Sapajus flavius",13,1,"Primates","Cebidae"
"Sapajus nigritus",58,4,"Primates","Cebidae"
"Sapajus xanthosternos",25,2,"Primates","Cebidae"
"Sarcophilus harrisii",168,2,"Dasyuromorphia","Dasyuridae"
"Sciurus carolinensis",219,26,"Rodentia","Sciuridae"
"Sciurus granatensis",11,1,"Rodentia","Sciuridae"
"Sciurus griseus",28,4,"Rodentia","Sciuridae"
"Sciurus niger",64,9,"Rodentia","Sciuridae"
"Sciurus variegatoides",8,3,"Rodentia","Sciuridae"
"Sciurus vulgaris",172,30,"Rodentia","Sciuridae"
"Scotophilus kuhlii",16,5,"Chiroptera","Vespertilionidae"
"Scotophilus nigrita",0,0,"Chiroptera","Vespertilionidae"
"Sekeetamys calurus",6,0,"Rodentia","Muridae"
"Semnopithecus entellus",32,4,"Primates","Cercopithecidae"
"Semnopithecus schistaceus",6,0,"Primates","Cercopithecidae"
"Setonix brachyurus",129,2,"Diprotodontia","Macropodidae"
"Sigmodon alstoni",12,10,"Rodentia","Cricetidae"
"Sigmodon hispidus",403,116,"Rodentia","Cricetidae"
"Sigmodon toltecus",4,0,"Rodentia","Cricetidae"
"Sooretamys angouya",19,3,"Rodentia","Cricetidae"
"Sorex araneus",377,35,"Eulipotyphla","Soricidae"
"Sorex arcticus",0,0,"Eulipotyphla","Soricidae"
"Sorex minutus",65,11,"Eulipotyphla","Soricidae"
"Sotalia guianensis",99,8,"Cetartiodactyla","Delphinidae"
"Speothos venaticus",37,2,"Carnivora","Canidae"
"Spermophilus citellus",37,0,"Rodentia","Sciuridae"
"Spermophilus fulvus",9,0,"Rodentia","Sciuridae"
"Spilogale gracilis",10,0,"Carnivora","Mephitidae"
"Spilogale putorius",23,3,"Carnivora","Mephitidae"
"Stenella coeruleoalba",276,30,"Cetartiodactyla","Delphinidae"
"Stenella frontalis",61,0,"Cetartiodactyla","Delphinidae"
"Stenocephalemys albipes",6,1,"Rodentia","Muridae"
"Sturnira lilium",59,8,"Chiroptera","Phyllostomidae"
"Sturnira ludovici",5,0,"Chiroptera","Phyllostomidae"
"Sturnira tildae",0,0,"Chiroptera","Phyllostomidae"
"Suncus murinus",713,42,"Eulipotyphla","Soricidae"
"Suricata suricatta",148,1,"Carnivora","Herpestidae"
"Sus barbatus",12,1,"Cetartiodactyla","Suidae"
"Sus celebensis",11,1,"Cetartiodactyla","Suidae"
"Sus scrofa",3195,264,"Cetartiodactyla","Suidae"
"Sus verrucosus",7,1,"Cetartiodactyla","Suidae"
"Syconycteris australis",5,0,"Chiroptera","Pteropodidae"
"Sylvicapra grimmia",27,0,"Cetartiodactyla","Bovidae"
"Sylvilagus aquaticus",6,0,"Lagomorpha","Leporidae"
"Sylvilagus audubonii",19,2,"Lagomorpha","Leporidae"
"Sylvilagus bachmani",16,6,"Lagomorpha","Leporidae"
"Sylvilagus brasiliensis",10,4,"Lagomorpha","Leporidae"
"Sylvilagus floridanus",140,24,"Lagomorpha","Leporidae"
"Sylvilagus nuttallii",14,1,"Lagomorpha","Leporidae"
"Sylvilagus palustris",12,0,"Lagomorpha","Leporidae"
"Sylvisorex ollula",3,1,"Eulipotyphla","Soricidae"
"Symphalangus syndactylus",89,3,"Primates","Hylobatidae"
"Syncerus caffer",391,78,"Cetartiodactyla","Bovidae"
"Tachyglossus aculeatus",202,1,"Monotremata","Tachyglossidae"
"Tadarida brasiliensis",174,44,"Chiroptera","Molossidae"
"Tadarida teniotis",17,4,"Chiroptera","Molossidae"
"Talpa romana",8,0,"Eulipotyphla","Talpidae"
"Tamandua tetradactyla",81,1,"Pilosa","Myrmecophagidae"
"Tamias striatus",124,13,"Rodentia","Sciuridae"
"Tamiasciurus hudsonicus",123,8,"Rodentia","Sciuridae"
"Taphozous melanopogon",23,3,"Chiroptera","Emballonuridae"
"Taphozous perforatus",6,3,"Chiroptera","Emballonuridae"
"Taphozous theobaldi",2,1,"Chiroptera","Emballonuridae"
"Tapirus terrestris",67,3,"Perissodactyla","Tapiridae"
"Tatera indica",63,2,"Rodentia","Muridae"
"Taxidea taxus",39,5,"Carnivora","Mustelidae"
"Thallomys nigricauda",5,0,"Rodentia","Muridae"
"Thaptomys nigrita",11,3,"Rodentia","Cricetidae"
"Theropithecus gelada",103,2,"Primates","Cercopithecidae"
"Thomomys talpoides",21,0,"Rodentia","Geomyidae"
"Thryonomys swinderianus",73,1,"Rodentia","Thryonomyidae"
"Thylogale billardierii",24,0,"Diprotodontia","Macropodidae"
"Tolypeutes matacus",13,1,"Cingulata","Dasypodidae"
"Tonatia bidens",1,0,"Chiroptera","Phyllostomidae"
"Trachops cirrhosus",27,0,"Chiroptera","Phyllostomidae"
"Trachypithecus cristatus",21,1,"Primates","Cercopithecidae"
"Trachypithecus francoisi",33,2,"Primates","Cercopithecidae"
"Trachypithecus obscurus",9,2,"Primates","Cercopithecidae"
"Trachypithecus phayrei",16,0,"Primates","Cercopithecidae"
"Trachypithecus pileatus",11,1,"Primates","Cercopithecidae"
"Tragelaphus angasii",19,1,"Cetartiodactyla","Bovidae"
"Tragelaphus eurycerus",29,1,"Cetartiodactyla","Bovidae"
"Tragelaphus imberbis",14,1,"Cetartiodactyla","Bovidae"
"Tragelaphus oryx",33,4,"Cetartiodactyla","Bovidae"
"Tragelaphus scriptus",41,1,"Cetartiodactyla","Bovidae"
"Tragelaphus spekii",10,0,"Cetartiodactyla","Bovidae"
"Tragelaphus strepsiceros",92,10,"Cetartiodactyla","Bovidae"
"Tragulus javanicus",43,4,"Cetartiodactyla","Tragulidae"
"Transandinomys bolivaris",1,1,"Rodentia","Cricetidae"
"Tremarctos ornatus",29,0,"Carnivora","Ursidae"
"Trichechus manatus",215,7,"Sirenia","Trichechidae"
"Trichosurus vulpecula",761,17,"Diprotodontia","Phalangeridae"
"Trinomys iheringi",13,1,"Rodentia","Echimyidae"
"Tscherskia triton",27,1,"Rodentia","Cricetidae"
"Tupaia belangeri",460,91,"Scandentia","Tupaiidae"
"Tupaia glis",223,3,"Scandentia","Tupaiidae"
"Tursiops aduncus",116,7,"Cetartiodactyla","Delphinidae"
"Tursiops truncatus",1302,36,"Cetartiodactyla","Delphinidae"
"Tylomys nudicaudus",2,0,"Rodentia","Cricetidae"
"Tylonycteris pachypus",13,3,"Chiroptera","Vespertilionidae"
"Urocitellus columbianus",36,0,"Rodentia","Sciuridae"
"Urocitellus parryii",67,0,"Rodentia","Sciuridae"
"Urocitellus richardsonii",90,4,"Rodentia","Sciuridae"
"Urocitellus undulatus",34,2,"Rodentia","Sciuridae"
"Urocyon cinereoargenteus",104,26,"Carnivora","Canidae"
"Urocyon littoralis",40,5,"Carnivora","Canidae"
"Uroderma bilobatum",18,3,"Chiroptera","Phyllostomidae"
"Ursus americanus",345,17,"Carnivora","Ursidae"
"Ursus arctos",577,21,"Carnivora","Ursidae"
"Ursus maritimus",413,16,"Carnivora","Ursidae"
"Ursus thibetanus",126,4,"Carnivora","Ursidae"
"Urva javanica",19,4,"Carnivora","Herpestidae"
"Vampyrodes caraccioli",1,0,"Chiroptera","Phyllostomidae"
"Vandeleuria oleracea",5,2,"Rodentia","Muridae"
"Varecia variegata",105,4,"Primates","Lemuridae"
"Vespadelus pumilus",2,0,"Chiroptera","Vespertilionidae"
"Vespertilio murinus",13,3,"Chiroptera","Vespertilionidae"
"Vespertilio sinensis",16,0,"Chiroptera","Vespertilionidae"
"Vicugna pacos",381,24,"Cetartiodactyla","Camelidae"
"Vicugna vicugna",269,23,"Cetartiodactyla","Camelidae"
"Viverricula indica",9,2,"Carnivora","Viverridae"
"Vombatus ursinus",69,1,"Diprotodontia","Vombatidae"
"Vulpes chama",4,0,"Carnivora","Canidae"
"Vulpes corsac",14,2,"Carnivora","Canidae"
"Vulpes lagopus",364,29,"Carnivora","Canidae"
"Vulpes macrotis",33,5,"Carnivora","Canidae"
"Vulpes velox",16,2,"Carnivora","Canidae"
"Vulpes vulpes",1599,168,"Carnivora","Canidae"
"Vulpes zerda",17,4,"Carnivora","Canidae"
"Wallabia bicolor",54,1,"Diprotodontia","Macropodidae"
"Xerus erythropus",11,0,"Rodentia","Sciuridae"
"Xerus inauris",20,1,"Rodentia","Sciuridae"
"Zalophus californianus",421,34,"Carnivora","Otariidae"
"Zalophus wollebaeki",33,1,"Carnivora","Otariidae"
"Zapus hudsonius",16,1,"Rodentia","Dipodidae"
"Zygodontomys brevicauda",31,19,"Rodentia","Cricetidae"
