"Year","NumPubs","Host","Note"
1996,3,"Addax nasomaculatus",""
1998,1,"Addax nasomaculatus",""
2001,1,"Addax nasomaculatus",""
2002,1,"Addax nasomaculatus",""
2003,2,"Addax nasomaculatus",""
2004,1,"Addax nasomaculatus",""
2007,2,"Addax nasomaculatus",""
2008,2,"Addax nasomaculatus",""
2009,1,"Addax nasomaculatus",""
2010,1,"Addax nasomaculatus",""
2011,1,"Addax nasomaculatus",""
2013,1,"Addax nasomaculatus",""
2015,1,"Addax nasomaculatus",""
2016,1,"Addax nasomaculatus",""
2017,3,"Addax nasomaculatus",""
2018,1,"Addax nasomaculatus",""
2019,1,"Addax nasomaculatus",""
2020,1,"Addax nasomaculatus",""
1971,1,"Aepyceros melampus",""
1972,3,"Aepyceros melampus",""
1973,1,"Aepyceros melampus",""
1975,5,"Aepyceros melampus",""
1976,4,"Aepyceros melampus",""
1977,2,"Aepyceros melampus",""
1978,5,"Aepyceros melampus",""
1979,2,"Aepyceros melampus",""
1980,2,"Aepyceros melampus",""
1982,2,"Aepyceros melampus",""
1983,2,"Aepyceros melampus",""
1984,2,"Aepyceros melampus",""
1985,1,"Aepyceros melampus",""
1986,2,"Aepyceros melampus",""
1987,2,"Aepyceros melampus",""
1988,4,"Aepyceros melampus",""
1989,4,"Aepyceros melampus",""
1990,3,"Aepyceros melampus",""
1991,1,"Aepyceros melampus",""
1992,1,"Aepyceros melampus",""
1993,3,"Aepyceros melampus",""
1995,2,"Aepyceros melampus",""
1996,2,"Aepyceros melampus",""
1997,2,"Aepyceros melampus",""
1998,5,"Aepyceros melampus",""
1999,4,"Aepyceros melampus",""
2000,3,"Aepyceros melampus",""
2001,2,"Aepyceros melampus",""
2002,3,"Aepyceros melampus",""
2003,3,"Aepyceros melampus",""
2004,4,"Aepyceros melampus",""
2005,4,"Aepyceros melampus",""
2006,1,"Aepyceros melampus",""
2007,4,"Aepyceros melampus",""
2008,3,"Aepyceros melampus",""
2009,3,"Aepyceros melampus",""
2010,7,"Aepyceros melampus",""
2011,6,"Aepyceros melampus",""
2012,7,"Aepyceros melampus",""
2013,2,"Aepyceros melampus",""
2014,5,"Aepyceros melampus",""
2015,3,"Aepyceros melampus",""
2016,3,"Aepyceros melampus",""
2017,4,"Aepyceros melampus",""
2018,2,"Aepyceros melampus",""
2019,5,"Aepyceros melampus",""
2020,9,"Aepyceros melampus",""
1986,1,"Aethomys kaiseri",""
2004,1,"Aethomys kaiseri",""
2020,1,"Aethomys kaiseri",""
1946,1,"Ailuropoda melanoleuca",""
1949,1,"Ailuropoda melanoleuca",""
1965,1,"Ailuropoda melanoleuca",""
1966,1,"Ailuropoda melanoleuca",""
1967,1,"Ailuropoda melanoleuca",""
1973,1,"Ailuropoda melanoleuca",""
1977,1,"Ailuropoda melanoleuca",""
1979,1,"Ailuropoda melanoleuca",""
1980,1,"Ailuropoda melanoleuca",""
