Year,NumPubs,Host,Note,VirusRelated
2000,1,allochrocebus lhoesti,,TRUE
2001,1,allochrocebus lhoesti,,TRUE
2013,1,allochrocebus lhoesti,,TRUE
2020,0,allochrocebus preussi,No publications,TRUE
1999,1,allochrocebus solatus,,TRUE
2001,1,allochrocebus solatus,,TRUE
2011,1,allochrocebus solatus,,TRUE
2020,0,allocricetulus eversmanni,No publications,TRUE
2020,0,alouatta belzebul,No publications,TRUE
1976,1,alouatta caraya,,TRUE
1978,2,alouatta caraya,,TRUE
1983,1,alouatta caraya,,TRUE
2000,1,alouatta caraya,,TRUE
2003,1,alouatta caraya,,TRUE
2007,1,alouatta caraya,,TRUE
2010,1,alouatta caraya,,TRUE
2011,2,alouatta caraya,,TRUE
2012,2,alouatta caraya,,TRUE
2014,2,alouatta caraya,,TRUE
2015,1,alouatta caraya,,TRUE
2016,2,alouatta caraya,,TRUE
2017,3,alouatta caraya,,TRUE
2019,1,alouatta caraya,,TRUE
2020,1,alouatta caraya,,TRUE
2011,1,alouatta guariba,,TRUE
2019,1,alouatta guariba,,TRUE
2020,3,alouatta guariba,,TRUE
2020,0,alouatta macconnelli,No publications,TRUE
2020,0,alouatta palliata,No publications,TRUE
2016,1,alouatta pigra,,TRUE
2020,1,alouatta pigra,,TRUE
2020,0,alouatta sara,No publications,TRUE
1998,1,alouatta seniculus,,TRUE
2016,1,alouatta seniculus,,TRUE
2020,0,alticola argentatus,No publications,TRUE
1974,1,ammospermophilus nelsoni,,TRUE
1979,1,ammotragus lervia,,TRUE
2007,1,ammotragus lervia,,TRUE
2008,1,ammotragus lervia,,TRUE
2011,1,ammotragus lervia,,TRUE
2020,2,ammotragus lervia,,TRUE
2012,1,anoura caudifer,,TRUE
2020,0,anoura geoffroyi,No publications,TRUE
2013,1,anourosorex squamipes,,TRUE
2016,2,anourosorex squamipes,,TRUE
2016,1,anourosorex yamashinai,,TRUE
2005,1,antidorcas marsupialis,,TRUE
2015,1,antidorcas marsupialis,,TRUE
1975,1,antilocapra americana,,TRUE
1977,1,antilocapra americana,,TRUE
1980,1,antilocapra americana,,TRUE
1983,1,antilocapra americana,,TRUE
1985,1,antilocapra americana,,TRUE
1986,2,antilocapra americana,,TRUE
1988,1,antilocapra americana,,TRUE
1990,1,antilocapra americana,,TRUE
1996,1,antilocapra americana,,TRUE
1999,1,antilocapra americana,,TRUE
2007,1,antilocapra americana,,TRUE
2014,1,antilocapra americana,,TRUE
2016,1,antilocapra americana,,TRUE
2007,1,antilope cervicapra,,TRUE
2016,1,antilope cervicapra,,TRUE
2020,0,antrozous dubiaquercus,No publications,TRUE
2020,0,antrozous pallidus,No publications,TRUE
NA,NA,aonyx cinereus,Lookup error,TRUE
NA,NA,aotus azarai,Lookup error,TRUE
1998,1,aotus griseimembra,,TRUE
2009,1,aotus griseimembra,,TRUE
1998,1,aotus lemurinus,,TRUE
2009,1,aotus lemurinus,,TRUE
2009,2,aotus nancymaae,,TRUE
2011,1,aotus nancymaae,,TRUE
2012,1,aotus nancymaae,,TRUE
2015,1,aotus nancymaae,,TRUE
2017,1,aotus nancymaae,,TRUE
1968,1,aotus trivirgatus,,TRUE
1971,2,aotus trivirgatus,,TRUE
1973,4,aotus trivirgatus,,TRUE
1975,2,aotus trivirgatus,,TRUE
1976,4,aotus trivirgatus,,TRUE
1978,1,aotus trivirgatus,,TRUE
1980,1,aotus trivirgatus,,TRUE
1981,1,aotus trivirgatus,,TRUE
1982,1,aotus trivirgatus,,TRUE
1983,5,aotus trivirgatus,,TRUE
1984,1,aotus trivirgatus,,TRUE
1985,1,aotus trivirgatus,,TRUE
1987,3,aotus trivirgatus,,TRUE
1988,1,aotus trivirgatus,,TRUE
1990,1,aotus trivirgatus,,TRUE
1991,1,aotus trivirgatus,,TRUE
1992,1,aotus trivirgatus,,TRUE
1994,3,aotus trivirgatus,,TRUE
1995,1,aotus trivirgatus,,TRUE
1997,1,aotus trivirgatus,,TRUE
1999,1,aotus trivirgatus,,TRUE
2003,1,aotus trivirgatus,,TRUE
2006,1,aotus trivirgatus,,TRUE
2008,2,aotus trivirgatus,,TRUE
2020,1,aotus trivirgatus,,TRUE
2009,1,aotus vociferans,,TRUE
2015,1,aotus vociferans,,TRUE
2017,1,aotus vociferans,,TRUE
1976,1,apodemus agrarius,,TRUE
1978,1,apodemus agrarius,,TRUE
1981,2,apodemus agrarius,,TRUE
1982,5,apodemus agrarius,,TRUE
1983,2,apodemus agrarius,,TRUE
1984,2,apodemus agrarius,,TRUE
1985,2,apodemus agrarius,,TRUE
1986,4,apodemus agrarius,,TRUE
1988,2,apodemus agrarius,,TRUE
1989,1,apodemus agrarius,,TRUE
1991,2,apodemus agrarius,,TRUE
1993,1,apodemus agrarius,,TRUE
1995,1,apodemus agrarius,,TRUE
1996,1,apodemus agrarius,,TRUE
1997,1,apodemus agrarius,,TRUE
1999,4,apodemus agrarius,,TRUE
2000,3,apodemus agrarius,,TRUE
2001,2,apodemus agrarius,,TRUE
2002,6,apodemus agrarius,,TRUE
2003,2,apodemus agrarius,,TRUE
2004,6,apodemus agrarius,,TRUE
2005,2,apodemus agrarius,,TRUE
2006,3,apodemus agrarius,,TRUE
2007,3,apodemus agrarius,,TRUE
2008,5,apodemus agrarius,,TRUE
2009,9,apodemus agrarius,,TRUE
2010,5,apodemus agrarius,,TRUE
2011,8,apodemus agrarius,,TRUE
2012,12,apodemus agrarius,,TRUE
2013,3,apodemus agrarius,,TRUE
2014,10,apodemus agrarius,,TRUE
2015,5,apodemus agrarius,,TRUE
2016,6,apodemus agrarius,,TRUE
2017,5,apodemus agrarius,,TRUE
2018,3,apodemus agrarius,,TRUE
2019,9,apodemus agrarius,,TRUE
2020,5,apodemus agrarius,,TRUE
2021,1,apodemus agrarius,,TRUE
1991,1,apodemus argenteus,,TRUE
1995,1,apodemus argenteus,,TRUE
2020,0,apodemus chejuensis,No publications,TRUE
2018,1,apodemus chevrieri,,TRUE
2020,1,apodemus chevrieri,,TRUE
1995,1,apodemus draco,,TRUE
1999,1,apodemus draco,,TRUE
2004,1,apodemus draco,,TRUE
2007,1,apodemus draco,,TRUE
2013,1,apodemus draco,,TRUE
2014,1,apodemus draco,,TRUE
1957,1,apodemus flavicollis,,TRUE
1963,1,apodemus flavicollis,,TRUE
1966,3,apodemus flavicollis,,TRUE
1967,2,apodemus flavicollis,,TRUE
1969,1,apodemus flavicollis,,TRUE
1979,1,apodemus flavicollis,,TRUE
1980,1,apodemus flavicollis,,TRUE
1981,1,apodemus flavicollis,,TRUE
1982,2,apodemus flavicollis,,TRUE
1984,1,apodemus flavicollis,,TRUE
1985,1,apodemus flavicollis,,TRUE
1986,1,apodemus flavicollis,,TRUE
1987,1,apodemus flavicollis,,TRUE
1988,2,apodemus flavicollis,,TRUE
1989,2,apodemus flavicollis,,TRUE
1990,1,apodemus flavicollis,,TRUE
1993,5,apodemus flavicollis,,TRUE
