"Year","NumPubs","Host","Note"
1993,1,"antidorcas marsupialis",""
1995,2,"antidorcas marsupialis",""
1996,1,"antidorcas marsupialis",""
1997,3,"antidorcas marsupialis",""
1998,1,"antidorcas marsupialis",""
1999,1,"antidorcas marsupialis",""
2000,1,"antidorcas marsupialis",""
2001,1,"antidorcas marsupialis",""
2002,1,"antidorcas marsupialis",""
2003,1,"antidorcas marsupialis",""
2004,2,"antidorcas marsupialis",""
2005,3,"antidorcas marsupialis",""
2006,1,"antidorcas marsupialis",""
2007,6,"antidorcas marsupialis",""
2008,2,"antidorcas marsupialis",""
2009,2,"antidorcas marsupialis",""
2010,3,"antidorcas marsupialis",""
2011,2,"antidorcas marsupialis",""
2012,5,"antidorcas marsupialis",""
2013,5,"antidorcas marsupialis",""
2014,2,"antidorcas marsupialis",""
2015,7,"antidorcas marsupialis",""
2016,2,"antidorcas marsupialis",""
2017,2,"antidorcas marsupialis",""
2018,3,"antidorcas marsupialis",""
1963,1,"antilope cervicapra",""
1965,1,"antilope cervicapra",""
1966,1,"antilope cervicapra",""
1968,1,"antilope cervicapra",""
1970,1,"antilope cervicapra",""
1972,1,"antilope cervicapra",""
1973,1,"antilope cervicapra",""
1981,1,"antilope cervicapra",""
1985,1,"antilope cervicapra",""
1987,1,"antilope cervicapra",""
1988,2,"antilope cervicapra",""
1992,1,"antilope cervicapra",""
1995,1,"antilope cervicapra",""
1996,2,"antilope cervicapra",""
1999,1,"antilope cervicapra",""
2000,1,"antilope cervicapra",""
2003,1,"antilope cervicapra",""
2006,1,"antilope cervicapra",""
2007,3,"antilope cervicapra",""
2008,2,"antilope cervicapra",""
2009,1,"antilope cervicapra",""
2010,1,"antilope cervicapra",""
2011,1,"antilope cervicapra",""
2012,2,"antilope cervicapra",""
2013,1,"antilope cervicapra",""
2014,3,"antilope cervicapra",""
2015,2,"antilope cervicapra",""
2016,2,"antilope cervicapra",""
2019,2,"antilope cervicapra",""
1950,1,"bison bison",""
1951,2,"bison bison",""
1953,2,"bison bison",""
1954,1,"bison bison",""
1956,1,"bison bison",""
1958,2,"bison bison",""
1960,4,"bison bison",""
1961,3,"bison bison",""
1964,1,"bison bison",""
1965,4,"bison bison",""
1967,4,"bison bison",""
1969,5,"bison bison",""
1970,3,"bison bison",""
1971,1,"bison bison",""
1972,2,"bison bison",""
1973,3,"bison bison",""
1975,5,"bison bison",""
1976,4,"bison bison",""
1977,5,"bison bison",""
1978,8,"bison bison",""
1979,6,"bison bison",""
1980,6,"bison bison",""
1981,7,"bison bison",""
1982,6,"bison bison",""
1983,5,"bison bison",""
1984,6,"bison bison",""
1985,5,"bison bison",""
1986,4,"bison bison",""
1987,8,"bison bison",""
