Year,NumPubs,Host,Note
2005,2,aeorestes cinereus,
2006,3,aeorestes cinereus,
2007,1,aeorestes cinereus,
2009,2,aeorestes cinereus,
2010,2,aeorestes cinereus,
2011,2,aeorestes cinereus,
2012,2,aeorestes cinereus,
2013,4,aeorestes cinereus,
2014,4,aeorestes cinereus,
2015,4,aeorestes cinereus,
2016,5,aeorestes cinereus,
2017,5,aeorestes cinereus,
2018,3,aeorestes cinereus,
2019,6,aeorestes cinereus,
2020,3,aeorestes cinereus,
2021,1,aeorestes cinereus,
2020,0,aeorestes egregius,No publications
1971,1,aepyceros melampus,
1972,3,aepyceros melampus,
1973,1,aepyceros melampus,
1975,5,aepyceros melampus,
1976,4,aepyceros melampus,
1977,2,aepyceros melampus,
1978,5,aepyceros melampus,
1979,2,aepyceros melampus,
1980,2,aepyceros melampus,
1982,2,aepyceros melampus,
1983,2,aepyceros melampus,
1984,2,aepyceros melampus,
1985,1,aepyceros melampus,
1986,2,aepyceros melampus,
1987,2,aepyceros melampus,
1988,4,aepyceros melampus,
1989,4,aepyceros melampus,
1990,3,aepyceros melampus,
1991,1,aepyceros melampus,
1992,1,aepyceros melampus,
1993,3,aepyceros melampus,
1995,2,aepyceros melampus,
1996,2,aepyceros melampus,
1997,2,aepyceros melampus,
1998,5,aepyceros melampus,
1999,4,aepyceros melampus,
2000,3,aepyceros melampus,
2001,2,aepyceros melampus,
2002,3,aepyceros melampus,
2003,3,aepyceros melampus,
2004,4,aepyceros melampus,
2005,4,aepyceros melampus,
2006,1,aepyceros melampus,
2007,4,aepyceros melampus,
2008,3,aepyceros melampus,
2009,3,aepyceros melampus,
2010,7,aepyceros melampus,
2011,6,aepyceros melampus,
2012,7,aepyceros melampus,
2013,2,aepyceros melampus,
2014,5,aepyceros melampus,
2015,3,aepyceros melampus,
2016,3,aepyceros melampus,
2017,4,aepyceros melampus,
2018,2,aepyceros melampus,
2019,5,aepyceros melampus,
2020,9,aepyceros melampus,
1966,1,aethomys chrysophilus,
1978,1,aethomys chrysophilus,
1981,1,aethomys chrysophilus,
1983,1,aethomys chrysophilus,
1988,2,aethomys chrysophilus,
1989,1,aethomys chrysophilus,
1996,1,aethomys chrysophilus,
1998,1,aethomys chrysophilus,
2004,1,aethomys chrysophilus,
2005,2,aethomys chrysophilus,
2013,2,aethomys chrysophilus,
2018,2,aethomys chrysophilus,
2019,1,aethomys chrysophilus,
2020,1,aethomys chrysophilus,
1966,1,aethomys ineptus,
1978,1,aethomys ineptus,
1981,1,aethomys ineptus,
1983,1,aethomys ineptus,
1988,2,aethomys ineptus,
1989,1,aethomys ineptus,
1996,1,aethomys ineptus,
1998,1,aethomys ineptus,
2004,1,aethomys ineptus,
2005,2,aethomys ineptus,
2013,2,aethomys ineptus,
2014,1,aethomys ineptus,
2018,2,aethomys ineptus,
2019,1,aethomys ineptus,
2020,1,aethomys ineptus,
1986,1,aethomys kaiseri,
2004,1,aethomys kaiseri,
2020,1,aethomys kaiseri,
2020,0,afronycteris nana,No publications
NA,NA,ailuropoda melanoleuca,Lookup error
1976,1,ailurus fulgens,
1980,1,ailurus fulgens,
1983,2,ailurus fulgens,
1987,2,ailurus fulgens,
1989,1,ailurus fulgens,
1993,1,ailurus fulgens,
1995,2,ailurus fulgens,
1997,2,ailurus fulgens,
2000,3,ailurus fulgens,
2001,3,ailurus fulgens,
2002,5,ailurus fulgens,
2005,2,ailurus fulgens,
2006,5,ailurus fulgens,
2007,2,ailurus fulgens,
2008,6,ailurus fulgens,
2009,5,ailurus fulgens,
2010,3,ailurus fulgens,
2011,4,ailurus fulgens,
2012,2,ailurus fulgens,
2013,2,ailurus fulgens,
2014,5,ailurus fulgens,
2015,6,ailurus fulgens,
2016,6,ailurus fulgens,
2017,9,ailurus fulgens,
2018,11,ailurus fulgens,
2019,7,ailurus fulgens,
2020,10,ailurus fulgens,
1967,1,akodon azarae,
1982,1,akodon azarae,
1983,1,akodon azarae,
1984,1,akodon azarae,
1985,1,akodon azarae,
1988,1,akodon azarae,
1989,3,akodon azarae,
1990,1,akodon azarae,
1991,1,akodon azarae,
1996,1,akodon azarae,
2001,3,akodon azarae,
2002,3,akodon azarae,
2003,7,akodon azarae,
2004,2,akodon azarae,
2005,2,akodon azarae,
2006,4,akodon azarae,
2007,2,akodon azarae,
2008,3,akodon azarae,
2010,3,akodon azarae,
2011,6,akodon azarae,
2012,1,akodon azarae,
2014,2,akodon azarae,
2015,3,akodon azarae,
2016,2,akodon azarae,
2017,2,akodon azarae,
2018,4,akodon azarae,
2019,3,akodon azarae,
2020,3,akodon azarae,
1965,1,akodon cursor,
1995,1,akodon cursor,
1996,1,akodon cursor,
1997,3,akodon cursor,
1998,2,akodon cursor,
1999,2,akodon cursor,
2001,2,akodon cursor,
2002,1,akodon cursor,
2003,1,akodon cursor,
2005,1,akodon cursor,
2006,1,akodon cursor,
2007,2,akodon cursor,
2008,1,akodon cursor,
2009,1,akodon cursor,
2010,2,akodon cursor,
2011,3,akodon cursor,
2012,1,akodon cursor,
2013,1,akodon cursor,
2014,1,akodon cursor,
2015,3,akodon cursor,
2016,2,akodon cursor,
2017,3,akodon cursor,
2020,2,akodon cursor,
1969,1,akodon molinae,
1973,1,akodon molinae,
1979,1,akodon molinae,
1980,1,akodon molinae,
1981,1,akodon molinae,
1982,1,akodon molinae,
1983,2,akodon molinae,
1984,1,akodon molinae,
1986,2,akodon molinae,
1988,1,akodon molinae,
1990,1,akodon molinae,
