"Year","NumPubs","Host","Note","VirusRelated"
2020,1,"Alouatta pigra","",TRUE
1998,1,"Alouatta seniculus","",TRUE
2016,1,"Alouatta seniculus","",TRUE
2018,0,"Alticola argentatus","No publications",TRUE
1974,1,"Ammospermophilus nelsoni","",TRUE
1979,1,"Ammotragus lervia","",TRUE
2007,1,"Ammotragus lervia","",TRUE
2008,1,"Ammotragus lervia","",TRUE
2011,1,"Ammotragus lervia","",TRUE
2020,2,"Ammotragus lervia","",TRUE
2012,1,"Anoura caudifer","",TRUE
2018,0,"Anoura geoffroyi","No publications",TRUE
2005,1,"Antidorcas marsupialis","",TRUE
2015,1,"Antidorcas marsupialis","",TRUE
1975,1,"Antilocapra americana","",TRUE
1977,1,"Antilocapra americana","",TRUE
1980,1,"Antilocapra americana","",TRUE
1983,1,"Antilocapra americana","",TRUE
1985,1,"Antilocapra americana","",TRUE
1986,2,"Antilocapra americana","",TRUE
1988,1,"Antilocapra americana","",TRUE
1990,1,"Antilocapra americana","",TRUE
1996,1,"Antilocapra americana","",TRUE
1999,1,"Antilocapra americana","",TRUE
2007,1,"Antilocapra americana","",TRUE
2014,1,"Antilocapra americana","",TRUE
2016,1,"Antilocapra americana","",TRUE
2007,1,"Antilope cervicapra","",TRUE
2016,1,"Antilope cervicapra","",TRUE
2018,0,"Antrozous pallidus","No publications",TRUE
2011,1,"Aotus azarae","",TRUE
2015,2,"Aotus azarae","",TRUE
1968,1,"Aotus trivirgatus","",TRUE
1971,2,"Aotus trivirgatus","",TRUE
1973,4,"Aotus trivirgatus","",TRUE
1975,2,"Aotus trivirgatus","",TRUE
1976,4,"Aotus trivirgatus","",TRUE
1978,1,"Aotus trivirgatus","",TRUE
1980,1,"Aotus trivirgatus","",TRUE
1981,1,"Aotus trivirgatus","",TRUE
1982,1,"Aotus trivirgatus","",TRUE
1983,5,"Aotus trivirgatus","",TRUE
1984,1,"Aotus trivirgatus","",TRUE
1985,1,"Aotus trivirgatus","",TRUE
1987,3,"Aotus trivirgatus","",TRUE
1988,1,"Aotus trivirgatus","",TRUE
1990,1,"Aotus trivirgatus","",TRUE
1991,1,"Aotus trivirgatus","",TRUE
1992,1,"Aotus trivirgatus","",TRUE
1994,3,"Aotus trivirgatus","",TRUE
1995,1,"Aotus trivirgatus","",TRUE
1997,1,"Aotus trivirgatus","",TRUE
1999,1,"Aotus trivirgatus","",TRUE
2003,1,"Aotus trivirgatus","",TRUE
2006,1,"Aotus trivirgatus","",TRUE
2008,2,"Aotus trivirgatus","",TRUE
2020,1,"Aotus trivirgatus","",TRUE
1976,1,"Apodemus agrarius","",TRUE
1978,1,"Apodemus agrarius","",TRUE
1981,2,"Apodemus agrarius","",TRUE
1982,5,"Apodemus agrarius","",TRUE
1983,2,"Apodemus agrarius","",TRUE
1984,2,"Apodemus agrarius","",TRUE
1985,2,"Apodemus agrarius","",TRUE
1986,4,"Apodemus agrarius","",TRUE
1988,2,"Apodemus agrarius","",TRUE
1989,1,"Apodemus agrarius","",TRUE
1991,2,"Apodemus agrarius","",TRUE
1993,1,"Apodemus agrarius","",TRUE
1995,1,"Apodemus agrarius","",TRUE
1996,1,"Apodemus agrarius","",TRUE
1997,1,"Apodemus agrarius","",TRUE
1999,4,"Apodemus agrarius","",TRUE
2000,3,"Apodemus agrarius","",TRUE
2001,2,"Apodemus agrarius","",TRUE
2002,6,"Apodemus agrarius","",TRUE
2003,2,"Apodemus agrarius","",TRUE
2004,6,"Apodemus agrarius","",TRUE
2005,2,"Apodemus agrarius","",TRUE
2006,3,"Apodemus agrarius","",TRUE
2007,3,"Apodemus agrarius","",TRUE
2008,5,"Apodemus agrarius","",TRUE
2009,9,"Apodemus agrarius","",TRUE
2010,5,"Apodemus agrarius","",TRUE
2011,8,"Apodemus agrarius","",TRUE
2012,12,"Apodemus agrarius","",TRUE
2013,3,"Apodemus agrarius","",TRUE
2014,10,"Apodemus agrarius","",TRUE
2015,5,"Apodemus agrarius","",TRUE
2016,6,"Apodemus agrarius","",TRUE
2017,4,"Apodemus agrarius","",TRUE
2018,3,"Apodemus agrarius","",TRUE
2019,9,"Apodemus agrarius","",TRUE
2020,5,"Apodemus agrarius","",TRUE
1991,1,"Apodemus argenteus","",TRUE
1995,1,"Apodemus argenteus","",TRUE
1957,1,"Apodemus flavicollis","",TRUE
1963,1,"Apodemus flavicollis","",TRUE
1966,3,"Apodemus flavicollis","",TRUE
1967,2,"Apodemus flavicollis","",TRUE
1969,1,"Apodemus flavicollis","",TRUE
1979,1,"Apodemus flavicollis","",TRUE
1981,1,"Apodemus flavicollis","",TRUE
1982,2,"Apodemus flavicollis","",TRUE
1984,1,"Apodemus flavicollis","",TRUE
1985,1,"Apodemus flavicollis","",TRUE
1986,1,"Apodemus flavicollis","",TRUE
1987,1,"Apodemus flavicollis","",TRUE
1988,2,"Apodemus flavicollis","",TRUE
1989,2,"Apodemus flavicollis","",TRUE
1990,1,"Apodemus flavicollis","",TRUE
1993,5,"Apodemus flavicollis","",TRUE
1995,2,"Apodemus flavicollis","",TRUE
1996,2,"Apodemus flavicollis","",TRUE
1997,2,"Apodemus flavicollis","",TRUE
1999,2,"Apodemus flavicollis","",TRUE
2000,2,"Apodemus flavicollis","",TRUE
2001,4,"Apodemus flavicollis","",TRUE
2002,3,"Apodemus flavicollis","",TRUE
2003,3,"Apodemus flavicollis","",TRUE
2004,2,"Apodemus flavicollis","",TRUE
2005,3,"Apodemus flavicollis","",TRUE
2006,2,"Apodemus flavicollis","",TRUE
2007,1,"Apodemus flavicollis","",TRUE
2009,6,"Apodemus flavicollis","",TRUE
2010,3,"Apodemus flavicollis","",TRUE
2011,3,"Apodemus flavicollis","",TRUE
2012,6,"Apodemus flavicollis","",TRUE
2013,1,"Apodemus flavicollis","",TRUE
2014,10,"Apodemus flavicollis","",TRUE
2015,5,"Apodemus flavicollis","",TRUE
2016,3,"Apodemus flavicollis","",TRUE
2017,4,"Apodemus flavicollis","",TRUE
2018,4,"Apodemus flavicollis","",TRUE
2019,5,"Apodemus flavicollis","",TRUE
2020,6,"Apodemus flavicollis","",TRUE
2018,0,"Apodemus mystacinus","No publications",TRUE
2018,0,"Apodemus pallipes","No publications",TRUE
1975,1,"Apodemus peninsulae","",TRUE
2001,1,"Apodemus peninsulae","",TRUE
2004,1,"Apodemus peninsulae","",TRUE
2005,1,"Apodemus peninsulae","",TRUE
2007,4,"Apodemus peninsulae","",TRUE
