"Host","Synonym"
"glis glis","myoxus glis"
"glis glis","myoxus avellanus"
"glis glis","glis esculentus"
"glis glis","myoxus giglis"
"glis glis","glis insularis"
"glis glis","glis italicus"
"glis glis","glis melonii"
"glis glis","sciurus persicus"
"glis glis","glis vulgaris"
"glis glis","sciurus glis"
"glis glis","glis glis subalpinus"
"glis glis","glis glis postus"
"glis glis","myoxus glis orientalis"
"glis glis","myoxus glis caspius"
"glis glis","glis glis spoliatus"
"glis glis","glis glis pyrenaicus"
"glis glis","glis italicus intermedius"
"glis glis","glis glis tschetshenicus"
"glis glis","glis glis abruttii"
"glis glis","glis glis minutus"
"glis glis","glis glis petruccii"
"globicephala macrorhynchus","globicephala macrorhynchus"
"globicephala macrorhynchus","globicephala sieboldii"
"globicephala macrorhynchus","globicephala scammonii"
"globicephala melas","globicephala melas"
"globicephala melas","globicephala melaena"
"globicephala melas","delphinus melas"
"glossophaga commissarisi","glossophaga commissarisi"
"glossophaga longirostris","glossophaga longirostris"
"glossophaga morenoi","glossophaga morenoi"
"glossophaga soricina","glossophaga soricina"
"glossophaga soricina","vespertilio soricinus"
"glossophaga soricina","glossophaga soricina soricina"
"golunda ellioti","golunda ellioti"
"golunda ellioti","golunda coffaeus"
"golunda ellioti","mus hirsutus"
"golunda ellioti","mus myothrix"
"golunda ellioti","mus newara"
"golunda ellioti","pelomys watsoni"
"golunda ellioti","golunda ellioti bombax"
"golunda ellioti","golunda ellioti coenosa"
"golunda ellioti","golunda ellioti coraginis"
"golunda ellioti","golunda ellioti gujerati"
"golunda ellioti","golunda ellioti limitaris"
"golunda ellioti","golunda ellioti paupera"
"gorilla beringei","gorilla beringei"
"gorilla gorilla","gorilla gorilla"
"gracilinanus microtarsus","gracilinanus microtarsus"
"grammomys macmillani","grammomys macmillani"
"grammomys macmillani","thamnomys oblitus"
"grammomys macmillani","thamnomys macmillani gazellae"
"grampus griseus","grampus griseus"
"grampus griseus","grampus rissoanus"
"grampus griseus","grampus stearnsii"
"grampus griseus","delphinus rissoanus"
"grampus griseus","delphinus griseus"
"graomys griseoflavus","graomys griseoflavus"
"graomys griseoflavus","phyllotis cachinus"
"graomys griseoflavus","phyllotis chacoensis"
"graomys griseoflavus","graomys lockwoodi"
"graomys griseoflavus","graomys medius"
"graphiurus kelleni","graphiurus kelleni"
"graphiurus kelleni","graphiurus olga"
"graphiurus kelleni","graphiurus parvus"
"graphiurus kelleni","graphiurus foxi"
"graphiurus kelleni","claviglis olga"
"graphiurus lorraineus","graphiurus lorraineus"
"graphiurus lorraineus","graphiurus spurrelli"
"graphiurus microtis","graphiurus microtis"
"graphiurus murinus","graphiurus murinus"
"graphiurus ocularis","graphiurus ocularis"
"graphiurus platyops","graphiurus platyops"
"gulo gulo","gulo gulo"
"halichoerus grypus","halichoerus grypus"
"halichoerus grypus","phoca grypus"
"halichoerus grypus","halichoerus griseus"
"handleyomys alfaroi","lookup fail"
"handleyomys fuscatus","handleyomys fuscatus"
"handleyomys fuscatus","aepeomys fuscatus"
"hapalemur aureus","hapalemur aureus"
"hapalemur griseus","hapalemur griseus"
"heimyscus fumosus","heimyscus fumosus"
"helarctos malayanus","helarctos malayanus"
"heliosciurus gambianus","heliosciurus gambianus"
"heliosciurus rufobrachium","heliosciurus rufobrachium"
"heliosciurus ruwenzorii","heliosciurus ruwenzorii"
"heliosciurus undulatus","heliosciurus undulatus"
"hemiechinus auritus","hemiechinus auritus"
"hemitragus jemlahicus","hemitragus jemlahicus"
"herpestes edwardsii","lookup fail"
"herpestes ichneumon","herpestes ichneumon"
"herpestes urva","herpestes urva"
"heteromys anomalus","heteromys anomalus"
"hexaprotodon liberiensis","hexaprotodon liberiensis"
"hippopotamus amphibius","hippopotamus amphibius"
"hipposideros abae","hipposideros abae"
"hipposideros armiger","hipposideros armiger"
"hipposideros beatus","hipposideros beatus"
"hipposideros bicolor","hipposideros bicolor"
"hipposideros caffer","hipposideros caffer"
"hipposideros caffer","rhinolophus caffer"
"hipposideros caffer","phyllorhina angolensis"
"hipposideros caffer","hipposideros nanus"
"hipposideros caffer","hipposideros caffer caffer"
"hipposideros caffer","hipposideros caffer angolensis"
"hipposideros caffer","hipposideros caffer nanus"
"hipposideros cervinus","hipposideros cervinus"
"hipposideros cineraceus","hipposideros cineraceus"
"hipposideros crumeniferus","hipposideros crumeniferus"
"hipposideros crumeniferus","rhinolophus crumeniferus"
"hipposideros diadema","hipposideros diadema"
"hipposideros fuliginosus","hipposideros fuliginosus"
"hipposideros fuliginosus","phyllorhina fuliginosa"
"hipposideros galeritus","hipposideros galeritus"
"hipposideros grandis","hipposideros grandis"
"hipposideros grandis","hipposideros larvatus grandis"
"hipposideros jonesi","hipposideros jonesi"
"hipposideros lankadiva","hipposideros lankadiva"
"hipposideros lankadiva","hipposideros schistaceus"
"hipposideros larvatus","hipposideros larvatus"
"hipposideros lekaguli","hipposideros lekaguli"
"hipposideros pomona","hipposideros pomona"
"hipposideros pomona","paracoelops megalotis"
"hipposideros pomona","hipposideros pomona pomona"
"hipposideros pratti","hipposideros pratti"
"hipposideros ruber","hipposideros ruber"
"hipposideros speoris","hipposideros speoris"
"hipposideros speoris","vespertilio speoris"
"hipposideros terasensis","lookup fail"
"hipposideros turpis","hipposideros turpis"
"hipposideros turpis","hipposideros turpis turpis"
"hippotragus equinus","hippotragus equinus"
"hippotragus equinus","hippotragus equinus"
"hippotragus niger","hippotragus niger"
"histiotus macrotus","histiotus macrotus"
"histiotus macrotus","nycticeius macrotus"
"histiotus montanus","histiotus montanus"
"histiotus velatus","histiotus velatus"
"histiotus velatus","plecotus velatus"
"holochilus chacarius","holochilus chacarius"
"holochilus sciureus","holochilus sciureus"
"homo sapiens","homo sapiens"
"homo sapiens","homo aethiopicus"
"homo sapiens","homo americanus"
"homo sapiens","homo arabicus"
"homo sapiens","homo australasicus"
"homo sapiens","homo cafer"
"homo sapiens","homo capensis"
"homo sapiens","homo columbicus"
"homo sapiens","homo drennani"
"homo sapiens","homo grimaldii"
"homo sapiens","homo hottentotus"
"homo sapiens","homo hyperboreus"
"homo sapiens","homo indicus"
"homo sapiens","homo japeticus"
"homo sapiens","homo melaninus"
"homo sapiens","homo monstrosus"
"homo sapiens","homo neptunianus"
"homo sapiens","homo palestinus"
"homo sapiens","homo patagonus"
"homo sapiens","homo priscus"
"homo sapiens","homo scythicus"
"homo sapiens","homo sinicus"
"homo sapiens","homo spelaeus"
"homo sapiens","homo troglodytes"
"homo sapiens","homo wadjakensis"
"homo sapiens","homo sapiens cro-magnonensis"
"homo sapiens","homo sapiens grimaldiensis"
"homo sapiens","homo fossilis proto-aethiopicus"
"homo sapiens","homo fossilis protoaethiopicus"
"homo sapiens","homo sapiens cromagnonensis"
"hoolock hoolock","hoolock hoolock"
"hoplomys gymnurus","hoplomys gymnurus"
"hsunycteris thomasi","hsunycteris thomasi"
"hsunycteris thomasi","lonchophylla thomasi"
"hyaena hyaena","hyaena hyaena"
"hyaena hyaena","hyaena hyaena barbara"
"hyaena hyaena","hyaena hyaena hyaena"
"hybomys lunaris","hybomys lunaris"
"hybomys univittatus","hybomys univittatus"
"hybomys univittatus","mus rufocanus"
"hydrochoerus hydrochaeris","hydrochoerus hydrochaeris"
"hydrochoerus hydrochaeris","hydrochaeris hydrochaeris"
"hydromys chrysogaster","hydromys chrysogaster"
"hydromys chrysogaster","hydromys beccarii"
"hydromys chrysogaster","hydromys esox"
"hydromys chrysogaster","hydromys fuliginosus"
"hydromys chrysogaster","hydromys fulvogaster"
"hydromys chrysogaster","hydromys fulvolavatus"
"hydromys chrysogaster","hydromys fulvoventer"
"hydromys chrysogaster","hydromys grootensis"
"hydromys chrysogaster","hydromys lawnensis"
"hydromys chrysogaster","hydromys leucogaster"
"hydromys chrysogaster","hydromys longmani"
"hydromys chrysogaster","hydromys melicertes"
"hydromys chrysogaster","hydromys moae"
"hydromys chrysogaster","hydromys nauticus"
"hydromys chrysogaster","hydromys oriens"
"hydromys chrysogaster","hydromys chrysogaster reginae"
"hydromys chrysogaster","hydromys chrysogaster caurinus"
"hydromys chrysogaster","hydromys esox illuteus"
"hydropotes inermis","hydropotes inermis"
"hydrurga leptonyx","hydrurga leptonyx"
"hydrurga leptonyx","phoca leptonyx"
"hylaeamys laticeps","hylaeamys laticeps"
"hylaeamys laticeps","oryzomys laticeps"
"hylaeamys laticeps","oryzomys seuanezi"
"hylaeamys megacephalus","hylaeamys megacephalus"
"hylaeamys megacephalus","oryzomys capito"
"hylaeamys megacephalus","oryzomys megacephalus"
"hylobates agilis","hylobates agilis"
"hylobates agilis","hylobates rafflei"
"hylobates agilis","hylobates unko"
"hylobates agilis","hylobates albo nigrescens"
"hylobates agilis","hylobates albo griseus"
"hylobates albibarbis","hylobates albibarbis"
"hylobates lar","hylobates lar"
"hylobates moloch","hylobates moloch"
"hylobates moloch","pithecus cinereus"
"hylobates moloch","simia leucisca"
"hylobates moloch","hylobates lar pongoalsoni"
"hylobates muelleri","hylobates muelleri"
"hylobates pileatus","hylobates pileatus"
"hylochoerus meinertzhageni","hylochoerus meinertzhageni"
"hylomyscus alleni","hylomyscus alleni"
"hylomyscus alleni","hylomyscus alleni canus"
"hylomyscus alleni","hylomyscus alleni simus"
"hylomyscus endorobae","lookup fail"
"hylomyscus pamfi","hylomyscus pamfi"
"hylomyscus parvus","hylomyscus parvus"
"hylomyscus simus","lookup fail"
"hylomyscus stella","hylomyscus stella"
"hylomyscus stella","epimys alleni kaimosae"
"hylopetes phayrei","hylopetes phayrei"
"hypsignathus monstrosus","hypsignathus monstrosus"
"hypsugo alaschanicus","hypsugo alaschanicus"
"hypsugo alaschanicus","eptesicus alaschanicus"
"hypsugo pulveratus","hypsugo pulveratus"
"hypsugo pulveratus","pipistrellus pulveratus"
"hypsugo pulveratus","vesperugo pulveratus"
"hypsugo savii","hypsugo savii"
"hystrix africaeaustralis","hystrix africaeaustralis"
"hystrix brachyura","hystrix brachyura"
"hystrix cristata","hystrix cristata"
"hystrix indica","hystrix indica"
"hystrix indica","hystrix hirsutirostris"
"ia io","ia io"
"ichneumia albicauda","ichneumia albicauda"
"ictidomys tridecemlineatus","ictidomys tridecemlineatus"
"ictidomys tridecemlineatus","spermophilus tridecemlineatus"
"indopacetus pacificus","indopacetus pacificus"
"indopacetus pacificus","mesoplodon pacificus"
"indri indri","indri indri"
"indri indri","indri brevicaudatus"
"indri indri","indri niger"
"indri indri","lichanotus mitratus"
"indri indri","indris ater"
"indri indri","indri indri indri"
"indri indri","indri indri variegatus"
"inia boliviensis","lookup fail"
"isoodon macrourus","isoodon macrourus"
"isoodon obesulus","isoodon obesulus"
"jaculus jaculus","jaculus jaculus"
"jaculus jaculus","dipus aegyptius"
"jaculus jaculus","dipus darricarrerei"
"jaculus jaculus","dipus deserti"
"jaculus jaculus","jaculus florentiae"
"jaculus jaculus","dipus hirtipes"
"jaculus jaculus","dipus loftusi"
"jaculus jaculus","dipus macromystax"
"jaculus jaculus","dipus macrotarsus"
"jaculus jaculus","dipus schlueteri"
"jaculus jaculus","jaculus jaculus sefrius"
"jaculus jaculus","jaculus loftusi vocator"
"jaculus jaculus","jaculus jaculus syrius"
"jaculus jaculus","jaculus florentiae oralis"
"jaculus jaculus","jaculus jaculus centralis"
"jaculus jaculus","jaculus jaculus airensis"
"jaculus jaculus","jaculus jaculus favonicus"
"jaculus jaculus","jaculus deserti favillus"
"jaculus jaculus","jaculus deserti fuscipes"
"jaculus jaculus","jaculus deserti rarus"
"jaculus jaculus","jaculus deserti vastus"
"jaculus jaculus","jaculus jaculus arenaceous"
"jaculus jaculus","jaculus jaculus collinsi"
"jaculus jaculus","jaculus jaculus cufrensis"
"jaculus jaculus","jaculus jaculus tripolitanicus"
"jaculus jaculus","jaculus jaculus whitchurchi"
"kerivoula argentata","kerivoula argentata"
"kerivoula hardwickii","kerivoula hardwickii"
"kerivoula hardwickii","kerivoula hardwickei"
"kerivoula hardwickii","vespertilio hardwickii"
"kerivoula minuta","kerivoula minuta"
"kerivoula pellucida","kerivoula pellucida"
"kerivoula pellucida","vespertilio pellucidus"
"kerivoula titania","kerivoula titania"
"kobus ellipsiprymnus","kobus ellipsiprymnus"
"kobus kob","kobus kob"
"kobus leche","kobus leche"
"kobus megaceros","kobus megaceros"
"kogia breviceps","kogia breviceps"
"kogia breviceps","kogia floweri"
"kogia breviceps","kogia goodei"
"kogia breviceps","kogia grayii"
"kogia breviceps","physeter breviceps"
"kogia breviceps","kogia goodie"
"kogia breviceps","euphysetes grayii"
"kogia breviceps","euphysetes macleayi"
"kogia sima","kogia sima"
"kogia sima","kogia simus"
"kogia sima","physeter simus"
"laephotis capensis","laephotis capensis"
"laephotis capensis","eptesicus capensis"
"laephotis capensis","eptesicus melckorum"
"laephotis capensis","neoromicia capensis"
"laephotis capensis","neoromicia melckorum"
"laephotis capensis","vesperus damarensis"
"laephotis capensis","eptesicus garambae"
"laephotis capensis","scabrifer notius"
"laephotis capensis","vespertilio capensis"
"laephotis capensis","neoromicia capensis capensis"
"laephotis capensis","neoromicia capensis damarensis"
"laephotis capensis","neoromicia capensis garambae"
"laephotis capensis","neoromicia capensis gracilior"
"laephotis capensis","neoromicia capensis nkatiensis"
"laephotis capensis","neoromicia capensis notius"
"laephotis capensis","vespertilio capensis gracilior"
"laephotis capensis","eptesicus capensis nkatiensis"
"lagenodelphis hosei","lagenodelphis hosei"
"lagenorhynchus acutus","lagenorhynchus acutus"
"lagenorhynchus acutus","lagenorhynchus gubernator"
"lagenorhynchus acutus","lagenorhynchus leucopleurus"
"lagenorhynchus acutus","lagenorhynchus perspicillatus"
"lagenorhynchus acutus","delphinus acutus"
"lagenorhynchus acutus","delphinus leucopleurus"
"lagenorhynchus albirostris","lagenorhynchus albirostris"
"lagenorhynchus albirostris","delphinus pseudotursio"
"lagenorhynchus albirostris","delphinus ibseni"
"lagenorhynchus albirostris","delphinus albirostris"
"lagenorhynchus obliquidens","lagenorhynchus obliquidens"
"lagenorhynchus obliquidens","lagenorhynchus longidens"
"lagenorhynchus obliquidens","lagenorhynchus ognevi"
"lagenorhynchus obliquidens","delphinus longidens"
"lagenorhynchus obscurus","lagenorhynchus obscurus"
"lagenorhynchus obscurus","delphinus obscurus"
"lagorchestes conspicillatus","lagorchestes conspicillatus"
"lagothrix cana","lookup fail"
"lagothrix lagotricha","lookup fail"
"lagothrix lugens","lookup fail"
"lagothrix poeppigii","lookup fail"
"lagurus lagurus","lagurus lagurus"
"lagurus lagurus","lagurus migratorius"
"lagurus lagurus","lagurus lagurus abacanicus"
"lagurus lagurus","lagurus lagurus altorum"
"lagurus lagurus","lagurus lagurus occidentalis"
"lama glama","lama glama"
"lama guanicoe","lama guanicoe"
"lama guanicoe","lama guanicoe"
"lasionycteris noctivagans","lasionycteris noctivagans"
"lasionycteris noctivagans","vespertilio noctivagans"
"lasiopodomys gregalis","lookup fail"
"lasiorhinus latifrons","lasiorhinus latifrons"
"lasiurus blossevillii","lasiurus blossevillii"
"lasiurus blossevillii","vespertilio blossevillii"
"lasiurus blossevillii","vespertilio bonariensis"
"lasiurus blossevillii","vespertilio blossevilii"
"lasiurus borealis","lasiurus borealis"
"lasiurus borealis","vespertilio borealis"
"lasiurus seminolus","lasiurus seminolus"
"lasiurus seminolus","atalpha borealis seminola"
"lemmus lemmus","lemmus lemmus"
"lemmus lemmus","lemmus borealis"
"lemmus lemmus","cuniculus iterator"
"lemmus lemmus","lemmus norvegicus"
"lemmus sibiricus","lemmus sibiricus"
"lemmus sibiricus","myodes kittlitzi"
"lemmus sibiricus","hypudaeus migratorius"
"lemmus sibiricus","lemmus novosibiricus"
"lemmus sibiricus","lemmus obensis"
"lemmus sibiricus","lemmus paulus"
"lemmus sibiricus","lemmus obensis bungei"
"lemmus sibiricus","myodes lemmus minor"
"lemniscomys rosalia","lemniscomys rosalia"
"lemniscomys rosalia","mus dorsalis"
"lemniscomys rosalia","arvicanthis dorsalis calidior"
"lemniscomys rosalia","arvicanthis dorsalis maculosus"
"lemniscomys rosalia","lemniscomys dorsalis mearnsi"
"lemniscomys rosalia","lemniscomys griselda sabiensis"
"lemniscomys rosalia","lemniscomys griselda sabulata"
"lemniscomys rosalia","lemniscomys griselda spinalis"
"lemniscomys rosalia","lemniscomys griselda zuluensis"
"lemniscomys striatus","lemniscomys striatus"
"lemniscomys striatus","arvicanthis fasciatus"
"lemniscomys striatus","mus massaicus"
"lemniscomys striatus","golunda pulchella"
"lemniscomys striatus","arvicanthis pulcher"
"lemniscomys striatus","arvicanthis pulchellus ardens"
"lemniscomys striatus","arvicanthis pulchellus micropus"
"lemniscomys striatus","lemniscomys pulchellus spermophilus"
"lemniscomys striatus","arvicanthis striatus venustus"
"lemur catta","lemur catta"
"lemur catta","maki mococo"
"leontocebus fuscicollis","leontocebus fuscicollis"
"leontocebus fuscicollis","saguinus fuscicollis"
"leontocebus fuscicollis","saguinus fuscicollis acrensis"
"leontocebus fuscicollis","midas fuscicollis"
"leontocebus nigricollis","leontocebus nigricollis"
"leontocebus nigricollis","saguinus nigricollis"
"leontocebus nigricollis","midas nigricollis"
"leontopithecus chrysomelas","leontopithecus chrysomelas"
"leontopithecus rosalia","leontopithecus rosalia"
"leontopithecus rosalia","leontopithecus aurora"
"leontopithecus rosalia","leontocebus leoninus"
"leontopithecus rosalia","leontopithecus marikina"
"leontopithecus rosalia","jacchus rosalia guyannensis"
"leontopithecus rosalia","jacchus rosalia brasiliensis"
"leopardus colocolo","leopardus colocolo"
"leopardus colocolo","oncifelis colocolo"
"leopardus geoffroyi","leopardus geoffroyi"
"leopardus geoffroyi","felis geoffroyi"
"leopardus geoffroyi","oncifelis geoffroyi"
"leopardus guigna","leopardus guigna"
"leopardus guigna","oncifelis guigna"
"leopardus pardalis","leopardus pardalis"
"leopardus pardalis","felis pardalis"
"leopardus tigrinus","leopardus tigrinus"
"leopardus wiedii","leopardus wiedii"
"leopardus wiedii","felis wiedii"
"leopoldamys neilli","leopoldamys neilli"
"leopoldamys sabanus","leopoldamys sabanus"
"leopoldamys sabanus","mus balae"
"leopoldamys sabanus","mus fremens"
"leopoldamys sabanus","mus lucas"
"leopoldamys sabanus","epimys luta"
"leopoldamys sabanus","mus masae"
"leopoldamys sabanus","mus matthaeus"
"leopoldamys sabanus","epimys nasutus"
"leopoldamys sabanus","epimys stentor"
"leopoldamys sabanus","mus strepitans"
"leopoldamys sabanus","mus stridens"
"leopoldamys sabanus","mus stridulus"
"leopoldamys sabanus","epimys ululans"
"leopoldamys sabanus","mus vociferans"
"leopoldamys sabanus","rattus sabanus bunguranensis"
"leopoldamys sabanus","epimys vociferans clarae"
"leopoldamys sabanus","rattus sabanus dictatorius"
"leopoldamys sabanus","rattus sabanus heptneri"
"leopoldamys sabanus","epimys vociferans herberti"
"leopoldamys sabanus","epimys vociferans insularum"
"leopoldamys sabanus","mus vociferans lancavensis"
"leopoldamys sabanus","rattus fremens mansalaris"
"leopoldamys sabanus","rattus sabanus mayapahit"
"leopoldamys sabanus","rattus sabanus revertens"
"leopoldamys sabanus","rattus sabanus salanga"
"leopoldamys sabanus","rattus vociferans tapanulius"
"leopoldamys sabanus","mus vociferans tersus"
"leopoldamys sabanus","rattus fremens tuancus"
"lepilemur edwardsi","lepilemur edwardsi"
"lepilemur edwardsi","lepidolemur mustelinus rufescens"
"lepilemur mustelinus","lepilemur mustelinus"
"lepilemur mustelinus","mixocebus caniceps"
"leptailurus serval","leptailurus serval"
"leptailurus serval","felis serval"
"leptonychotes weddellii","leptonychotes weddellii"
"leptonychotes weddellii","leptonychotes weddelli"
"leptonychotes weddellii","otaria weddellii"
"leptonycteris curasoae","leptonycteris curasoae"
"leptonycteris nivalis","leptonycteris nivalis"
"leptonycteris nivalis","ischnoglossa nivalis"
"lepus americanus","lepus americanus"
"lepus californicus","lepus californicus"
"lepus capensis","lepus capensis"
"lepus corsicanus","lepus corsicanus"
"lepus europaeus","lepus europaeus"
"lepus granatensis","lepus granatensis"
"lepus saxatilis","lepus saxatilis"
"lepus saxatilis","lepus saxatilis saxatilis"
"lepus saxatilis","lepus saxatilis subrufus"
"lepus timidus","lepus timidus"
"lepus timidus","lepus othus tschuktschorum"
"lepus timidus","lepus timidus tschuktschorum"
"lichonycteris obscura","lichonycteris obscura"
"liomys adspersus","liomys adspersus"
"liomys pictus","liomys pictus"
"liomys salvini","liomys salvini"
"lipotes vexillifer","lipotes vexillifer"
"lissonycteris angolensis","lissonycteris angolensis"
"litocranius walleri","litocranius walleri"
"lobodon carcinophaga","lobodon carcinophaga"
"lobodon carcinophaga","lobodon carcinophagus"
"lobodon carcinophaga","phoca carcinophaga"
"lonchophylla robusta","lonchophylla robusta"
"lonchophylla robusta","choeroniscus periosus ponsi"
"lonchophylla robusta","choeroniscus mexicana ponsi"
"lonchorhina aurita","lonchorhina aurita"
"lontra canadensis","lontra canadensis"
"lontra canadensis","lutra canadensis"
"lophocebus albigena","lophocebus albigena"
"lophocebus aterrimus","lophocebus aterrimus"
"lophocebus aterrimus","cercolophocebus coelognathus"
"lophocebus aterrimus","cercocebus congicus"
"lophocebus aterrimus","cercocebus hamlyni"
"lophocebus aterrimus","semnocebus albigena rothschildi"
"lophostoma brasiliense","lophostoma brasiliense"
"lophostoma brasiliense","tonatia brasiliense"
"lophostoma silvicolum","lookup fail"
"lophuromys aquilus","lophuromys aquilus"
"lophuromys aquilus","lophuromys cinereus"
"lophuromys aquilus","lophuromys rubecula"
"lophuromys aquilus","lophuromys aquilus margarettae"
"lophuromys dudui","lophuromys dudui"
"lophuromys flavopunctatus","lophuromys flavopunctatus"
"lophuromys laticeps","lookup fail"
"lophuromys machangui","lookup fail"
"lophuromys nudicaudus","lophuromys nudicaudus"
"lophuromys nudicaudus","lophuromys afer"
"lophuromys nudicaudus","lophuromys tullbergi"
"lophuromys sikapusi","lophuromys sikapusi"
"lophuromys sikapusi","lasiomys afer"
"lophuromys stanleyi","lookup fail"
"loxodonta africana","loxodonta africana"
"loxodonta cyclotis","loxodonta cyclotis"
"loxodontomys micropus","loxodontomys micropus"
"loxodontomys micropus","auliscomys micropus"
"loxodontomys micropus","euneomys micropus alsus"
"loxodontomys micropus","phyllotis micropus fumipes"
"lutra lutra","lutra lutra"
"lycalopex culpaeus","lycalopex culpaeus"
"lycalopex culpaeus","pseudalopex culpaeus"
"lycalopex culpaeus","canis culpaeus"
"lycalopex fulvipes","lycalopex fulvipes"
"lycalopex fulvipes","vulpes fulvipes"
"lycalopex griseus","lookup fail"
"lycalopex gymnocercus","lycalopex gymnocercus"
"lycalopex gymnocercus","pseudalopex griseus"
"lycalopex gymnocercus","pseudalopex gymnocercus"
"lycalopex gymnocercus","lycalopex griseus"
"lycalopex gymnocercus","procyon gymnocercus"
"lycalopex vetulus","lycalopex vetulus"
"lycalopex vetulus","pseudalopex vetulus"
"lycalopex vetulus","canis vetulus"
"lycaon pictus","lycaon pictus"
"lycaon pictus","hyaena picta"
"lynx canadensis","lynx canadensis"
"lynx canadensis","felis lynx canadensis"
"lynx lynx","lynx lynx"
"lynx pardinus","lynx pardinus"
"lynx pardinus","felis pardina"
"lynx rufus","lynx rufus"
"lynx rufus","felis rufus"
"macaca arctoides","macaca arctoides"
"macaca arctoides","macacus brunneus"
"macaca arctoides","macacus harmandi"
"macaca arctoides","papio melanotus"
"macaca arctoides","macacus rufescens"
"macaca arctoides","macacus speciosus"
"macaca arctoides","macacus ursinus"
"macaca arctoides","macacus arctoides melli"
"macaca assamensis","macaca assamensis"
"macaca balantak x tonkeana","lookup fail"
"macaca balantak","lookup fail"
"macaca brunnescens","lookup fail"
"macaca cyclopis","macaca cyclopis"
"macaca cyclopis","macacus affinis"
"macaca fascicularis","macaca fascicularis"
"macaca fuscata","macaca fuscata"
"macaca hecki","macaca hecki"
"macaca leonina","macaca leonina"
"macaca leonina","macaca adusta"
"macaca leonina","macacus andamanensis"
"macaca leonina","macacus coininus"
"macaca leonina","macaca insulana"
"macaca leonina","macaca nemestrina blythii"
"macaca leonina","macaca nemestrina indochinensis"
"macaca leucogenys","macaca leucogenys"
"macaca maura","macaca maura"
"macaca maura","simia cuvieri"
"macaca maura","macacus fusco-ater"
"macaca maura","macacus inornatus"
"macaca maura","macacus fuscoater"
"macaca mulatta","macaca mulatta"
"macaca mulatta","simia erythraea"
"macaca mulatta","simia fulvus"
"macaca mulatta","macacus lasiotus"
"macaca mulatta","pithecus littoralis"
"macaca mulatta","macaca nipalensis"
"macaca mulatta","macaca oinops"
"macaca mulatta","simia rhesus"
"macaca mulatta","inuus sancti-johannis"
"macaca mulatta","macaca siamica"
"macaca mulatta","macacus tcheliensis"
"macaca mulatta","macacus vestitus"
"macaca mulatta","inuus sanctijohannis"
"macaca mulatta","macacus rhesus villosus"
"macaca mulatta","macaca mulatta mcmahoni"
"macaca munzala","macaca munzala"
"macaca nemestrina","macaca nemestrina"
"macaca nemestrina","macacus brachyurus"
"macaca nemestrina","macaca broca"
"macaca nemestrina","simia carpolegus"
"macaca nemestrina","simia fusca"
"macaca nemestrina","macaca libidinosus"
"macaca nemestrina","simia longicruris"
"macaca nemestrina","pithecus maimon"
"macaca nemestrina","simia platypygos"
"macaca nemestrina","macaca nemestrina nucifera"
"macaca nigra","macaca nigra"
"macaca nigra","cynopithecus lembicus"
"macaca nigra","cynocephalus malayanus"
"macaca nigrescens","macaca nigrescens"
"macaca ochreata","macaca ochreata"
"macaca pagensis","macaca pagensis"
"macaca pagensis","macaca pagensis mentaveensis"
"macaca radiata","macaca radiata"
"macaca silenus","macaca silenus"
"macaca silenus","simia ferox"
"macaca silenus","cercopithecus vetulus"
"macaca silenus","simia silenus albibarbatus"
"macaca sinica","macaca sinica"
"macaca speciosa","lookup fail"
"macaca sylvanus","macaca sylvanus"
"macaca sylvanus","inuus ecaudatus"
"macaca sylvanus","simia inuus"
"macaca sylvanus","simia pithecus"
"macaca sylvanus","pithecus pygmaeus"
"macaca thibetana","macaca thibetana"
"macaca thibetana","macaca thibetana esau"
"macaca thibetana","macaca thibetana guiahouensis"
"macaca thibetana","macaca thibetana huangshanensis"
"macaca thibetana","macaca thibetana thibetana"
"macaca thibetana","pithecus pullus"
"macaca tonkeana","macaca tonkeana"
"macaca tonkeana","papio hypomelanus"
"macaca tonkeana","cynopithecus togeanus"
"macaca tonkeana","papio tonsus"
"macroglossus minimus","macroglossus minimus"
"macroglossus sobrinus","macroglossus sobrinus"
"macronycteris commersoni","macronycteris commersoni"
"macronycteris commersoni","hipposideros commersoni"
"macronycteris commersoni","rhinolophus commersonii"
"macronycteris commersoni","hipposideros commersonii"
"macronycteris gigas","macronycteris gigas"
"macronycteris gigas","hipposideros gigas"
"macronycteris gigas","rhinolophus gigas"
"macronycteris vittata","lookup fail"
"macropus fuliginosus","macropus fuliginosus"
"macropus giganteus","macropus giganteus"
"macrotis lagotis","macrotis lagotis"
"macrotus californicus","macrotus californicus"
"madoqua kirkii","madoqua kirkii"
"madoqua saltiana","madoqua saltiana"
"madoqua saltiana","madoqua saltiana"
"madromys blanfordi","madromys blanfordi"
"madromys blanfordi","cremnomys blanfordi"
"malacomys longipes","lookup fail"
"mandrillus leucophaeus","mandrillus leucophaeus"
"mandrillus sphinx","mandrillus sphinx"
"mandrillus sphinx","maimon burlacei"
"mandrillus sphinx","mandrillus escherichi"
"mandrillus sphinx","mandrillus hagenbecki"
"mandrillus sphinx","mandrillus insularis"
"mandrillus sphinx","simia latidens"
"mandrillus sphinx","simia madarogaster"
"mandrillus sphinx","simia maimon"
"mandrillus sphinx","simia mormon"
"mandrillus sphinx","simia pennanti"
"mandrillus sphinx","papio planirostris"
"mandrillus sphinx","mandrillus schreberi"
"mandrillus sphinx","simia suilla"
