"Year","NumPubs","Host","Note"
1979,18,"macaca leonina",""
1980,28,"macaca leonina",""
1981,28,"macaca leonina",""
1982,24,"macaca leonina",""
1983,26,"macaca leonina",""
1984,14,"macaca leonina",""
1985,22,"macaca leonina",""
1986,18,"macaca leonina",""
1987,16,"macaca leonina",""
1988,13,"macaca leonina",""
1989,34,"macaca leonina",""
1990,36,"macaca leonina",""
1991,25,"macaca leonina",""
1992,25,"macaca leonina",""
1993,23,"macaca leonina",""
1994,35,"macaca leonina",""
1995,21,"macaca leonina",""
1996,23,"macaca leonina",""
1997,27,"macaca leonina",""
1998,23,"macaca leonina",""
1999,28,"macaca leonina",""
2000,26,"macaca leonina",""
2001,26,"macaca leonina",""
2002,23,"macaca leonina",""
2003,18,"macaca leonina",""
2004,22,"macaca leonina",""
2005,21,"macaca leonina",""
2006,25,"macaca leonina",""
2007,11,"macaca leonina",""
2008,20,"macaca leonina",""
2009,18,"macaca leonina",""
2010,18,"macaca leonina",""
2011,18,"macaca leonina",""
2012,16,"macaca leonina",""
2013,27,"macaca leonina",""
2014,27,"macaca leonina",""
2015,22,"macaca leonina",""
2016,16,"macaca leonina",""
2017,17,"macaca leonina",""
2018,10,"macaca leonina",""
2019,11,"macaca leonina",""
2020,12,"macaca leonina",""
2021,2,"macaca leonina",""
NA,NA,"meriones unguiculatus","Lookup error"
NA,NA,"mesoplodon densirostris","Lookup error"
2020,0,"microgale longicaudata","No publications"
2020,0,"microgale majori","No publications"
2007,1,"microgale taiva",""
