"","Host","Synonym"
"1","saguinus midas","saguinus midas"
"2","saguinus midas","simia lacepedii"
"3","saguinus midas","midas rufimanus"
"4","saguinus midas","cebus tamarin"
"5","saguinus midas","leontocebus midas egens"
