"","Host","Synonym"
"1","capra pyrenaica","capra pyrenaica"
"2","capra pyrenaica","capra pyrenaica pyrenaica"
"3","capra pyrenaica","capra pyrenaica cabrerae"
"4","capra pyrenaica","capra pyrenaica hispanica"
"5","capra pyrenaica","capra pyrenaica lusitanica"
"6","capra pyrenaica","capra pyrenaica nowaki"
"7","capra pyrenaica","capra pyrenaica victoriae"
