"","Host","Synonym"
"1","oreamnos americanus","oreamnos americanus"
"2","oreamnos americanus","oreamnos americanus columbiae"
"3","oreamnos americanus","oreamnos americanus columbianus"
"4","oreamnos americanus","oreamnos americanus dorsatus"
"5","oreamnos americanus","oreamnos americanus kennedyi"
"6","oreamnos americanus","oreamnos americanus lanigera"
"7","oreamnos americanus","oreamnos americanus missoulae"
"8","oreamnos americanus","oreamnos americanus montanus"
"9","oreamnos americanus","oreamnos americanus sericeus"
